RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT%OFF.,FT%DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
29,Duke 2,ACC,122.8,96.5,54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,76.2,71,53.5,48.9,37.9,29.3
,,,6,43,29,39,42,251,83,206,72,75,24,210,32,149,53,4
30,UMass Lowell,AE,103.9,116.1,54.7,53.4,20.8,17.8,27.1,30.7,31.5,38.1,73.5,73.4,53.1,52.3,38.4,37
,,,181,337,30,305,315,216,249,242,279,229,78,319,40,287,37,285
31,SMU 6,Amer,120.9,95.1,54.6,46,16.9,18.3,37.2,26.4,36,24.6,69.6,69.2,51,44.1,40.6,32.1
,,,10,29,31,19,60,188,10,54,159,7,198,106,98,18,3,35
32,Butler 4,BE,118.5,97.8,54.6,50.8,15,19.6,27.2,27,37.1,37,74.1,69.7,54.5,51.3,36.6,33.3
,,,19,57,32,185,9,98,242,74,129,214,62,131,22,244,96,83
33,Toledo,MAC,108.7,104.9,54.4,51.2,18.5,14.2,29,25.5,38.3,27.2,69,68.4,54.6,52.3,36.1,32.3
,,,94,185,33,197,173,348,188,36,86,23,220,67,19,286,124,46
34,Eastern Washington,BSky,109.5,110.8,54.2,51.2,17.1,14.5,27.3,27.8,34.8,36.9,76.9,71.6,53.7,48.2,36.8,37.7
,,,81,293,34,198,74,343,239,111,188,211,17,242,28,124,90,305
35,Wichita St. 10,MVC,118.1,93.2,54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,72.9,69.8,50.7,42,40.2,31.2
,,,22,16,35,4,35,124,33,9,50,175,90,137,111,7,10,19
36,Wake Forest 11,ACC,123,103.7,54.1,52.7,16.4,16.2,30.7,27.7,40.7,38,77.8,72.4,52.1,52.1,38.5,35.8
,,,4,157,36,269,44,305,120,105,44,228,10,275,62,272,32,216
37,Middle Tennessee 12,CUSA,112.1,97.6,54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,70.1,71.5,53.6,47.1,36.9,32.8
,,,52,53,37,59,16,87,141,4,302,233,177,238,29,81,86,65
38,UNC Asheville,BSth,105.8,102.8,54.1,52.4,16,22.6,24.4,27.3,34.9,31.2,68.2,67.4,51.8,51.5,39,35.8
,,,145,127,38,256,26,12,312,88,185,76,248,29,76,252,18,215
39,Oklahoma St. 10,B12,127.4,103.4,54,53.2,18.2,20.3,38.3,31.9,37.4,45.4,78.8,72.5,50.4,52.4,40.3,36.4
,,,1,149,39,297,149,58,4,287,118,335,5,282,125,290,6,256
40,Michigan St. 9,B10,112.3,95.8,54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,67,72.6,52.9,44.1,37.3,34.6
,,,49,34,40,29,304,317,181,86,231,168,285,291,44,17,69,144
41,UMBC,AE,108.4,110.9,54,52.4,16.3,17.7,24.4,27.3,35,35.1,75.2,71.9,51.5,52.2,38.5,35.2
,,,98,295,41,257,41,218,313,89,178,178,40,255,85,278,31,180
42,Rice,CUSA,107,107.8,53.9,50,19.4,17.4,28.6,26.2,41.5,35.7,74.3,71.2,50.9,49.7,38.9,33.9
,,,117,236,42,145,240,247,202,51,31,189,56,220,107,186,22,106
43,Richmond,A10,110.9,103.6,53.9,49.9,16.2,20,20.7,30.7,31.6,34.6,71.3,73.3,55.6,50.9,34.2,32.1
,,,63,154,43,139,40,76,341,243,276,165,137,318,12,230,206,38
44,Florida Gulf Coast 14,ASun,108.8,104.3,53.9,49.3,17.9,17.4,33.8,29.6,33.8,35.9,69.6,68.2,55.4,51,33.7,31
,,,93,173,44,116,122,245,45,193,225,195,202,56,14,235,231,16
45,Jacksonville,ASun,101.3,112,53.8,56.6,18.5,20.9,26.3,28.5,34.6,36.8,72.8,67.5,50.4,56.5,38.8,37.8
,,,235,306,45,345,176,42,275,150,198,208,97,31,128,347,24,307
46,Arizona 2,P12,118.4,96.5,53.7,47.7,16.6,17.4,33.2,26,40.5,28.6,76.5,68.4,51.5,48.4,39,31
,,,20,42,46,52,49,244,53,45,47,37,22,63,82,133,20,14
