RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT%OFF.,FT%DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
,,,23,3,121,18,63,32,73,191,56,152,91,184,129,45,127,10
122,Troy 15,SB,109.6,107.3,51.6,50.1,17.8,17.6,30.8,29.8,40.1,32.8,72.5,72.4,50.9,49.5,35.1,34.1
,,,79,225,122,151,113,225,114,207,57,115,102,278,108,174,165,117
123,Georgia Southern,SB,105.2,107.3,51.5,51.3,17,18.7,25.2,33,39.9,34.7,67.6,67.4,49.2,51.4,36.3,34.1
,,,153,227,123,203,72,160,294,321,64,167,273,30,178,250,107,115
124,Army,Pat,98,104.9,51.5,50.3,20.6,17.3,26.4,24,28,33.7,66,68.8,50.7,50.1,35.1,33.8
,,,292,184,124,158,306,255,271,6,330,145,307,84,113,207,166,102
125,Louisiana Lafayette,SB,110.9,109.7,51.5,54.4,17.9,20.1,36.3,27.8,42.2,37.3,69.6,69.6,51.5,53.8,34.2,37.1
,,,64,274,125,324,121,72,16,109,26,219,205,124,86,321,205,290
126,Providence 11,BE,108.9,95.4,51.4,49.6,18.4,20.3,26.4,28.6,38.1,30.5,69.1,67.6,49.1,49.9,37.1,32.8
,,,91,31,126,123,164,59,270,156,93,63,217,35,183,197,75,64
127,Louisville 2,ACC,118.2,92.4,51.4,45.7,16,19.6,36.7,28.5,34,38.8,68.6,69.5,50.5,44.8,35.5,31.6
,,,21,8,127,17,27,99,13,141,219,246,233,118,120,23,147,27
128,Incarnate Word,Slnd,101.6,114.4,51.4,51.5,18.6,16.6,22.2,32.4,43.6,38.9,69.6,73.2,48.2,51.8,37.8,33.7
,,,226,328,128,211,190,293,332,305,9,247,203,313,220,260,55,96
129,Arizona St.,P12,111.7,108,51.4,55.4,14.3,18.3,24.4,32.2,31.9,29.9,74.9,71.2,48.7,55.9,36.6,36.4
,,,59,241,129,337,5,185,309,295,274,54,44,218,200,343,97,259
130,Campbell,BSth,100.9,109.9,51.4,50.7,18.7,17.3,24.2,28.9,36.6,38.7,74.9,72.1,50.2,49.9,35.6,34.7
,,,241,278,130,183,196,252,319,167,143,243,43,264,137,196,144,152
131,Pittsburgh,ACC,113.4,102.2,51.4,51.3,17.6,14.3,28.2,29.5,39.4,26.6,73.3,70.9,49.6,50.2,36.1,35.6
,,,41,117,131,204,99,346,209,192,71,16,83,205,162,213,123,200
132,Arkansas 8,SEC,115.5,100.8,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,76.1,70.5,50,46.7,36.5,33.2
,,,33,92,132,57,54,173,75,332,91,253,26,176,144,71,100,78
133,Southeast Missouri St.,OVC,102.6,109.6,51.4,55.3,17.6,21.9,24.7,30.1,35.1,39,74,71.1,49,55.3,36.8,36.9
,,,207,270,133,336,101,21,306,221,176,251,65,215,188,339,88,279
134,Colgate,Pat,98.1,108.4,51.4,52.5,22,17.3,24.8,25.3,33.4,38.6,67.8,68.9,49.4,50,36.1,37.6
,,,290,254,134,259,335,256,303,29,237,241,267,90,170,203,122,303
135,Illinois St.,MVC,108.4,93.2,51.4,44,18.6,19,30.4,28.5,29.9,32.6,66.4,69,48.6,41.1,37,32.5
,,,99,15,135,5,187,148,130,148,305,112,291,95,201,4,81,52
136,UAB,CUSA,103.9,105.9,51.3,49.8,20,17.3,30,28.1,37.7,29.4,73,70.1,51.3,48.8,34.1,34.2
,,,178,202,136,135,278,253,143,125,107,50,89,156,91,145,214,123
137,North Florida,ASun,101.6,109.5,51.3,52.7,22.2,16.7,33.3,31.8,34.9,35,64.9,67.9,50.7,51.6,34.7,36.6
,,,228,267,137,270,340,288,52,282,186,174,326,43,115,253,182,269
138,West Virginia 4,B12,116,90.3,51.3,48.8,17,27.6,37.9,31.9,38.9,42.5,68.5,68.3,49.8,46.5,36.2,35.3
,,,30,5,138,95,71,1,6,288,77,314,236,60,155,63,111,183
139,Texas A&M Corpus Chris,Slnd,103.3,103,51.3,51.6,18.8,23,29.3,31.1,37.1,41.2,71.9,68.2,52.1,51.3,32.8,34.6
,,,193,132,139,216,203,9,178,253,131,299,117,54,59,246,267,146
140,Kennesaw St.,ASun,101.8,110.3,51.3,53.8,18.9,17.5,31.1,28.5,30.6,36.2,69.7,67.9,47.7,52.8,41.2,37.3
,,,219,284,140,312,209,238,106,147,294,200,197,42,247,303,2,293
141,North Carolina Central 16,MEAC,102.3,102,51.3,45.3,17.8,19.8,31.6,31.2,34.2,28,69.4,63.9,52.7,46.1,32.7,29.2
,,,214,113,141,13,114,88,86,259,213,31,209,2,46,55,269,3
142,Fairfield,MAAC,99,103,51.3,49.5,18.6,17.5,24.3,28.2,27.2,32,68.2,67.7,52,49.4,33.5,33.1
,,,272,134,142,120,185,237,314,131,339,94,247,37,65,170,240,74
143,Montana,BSky,105.9,108,51.2,52,15.6,18.2,28,26.8,33,44.4,75.2,70.2,49.9,52.1,35.7,34.5
,,,144,242,143,232,18,195,220,66,247,329,39,159,147,275,135,139
144,BYU,WCC,109.2,100.4,51.2,47.9,18.2,16.2,29.1,24.8,42.3,31.1,73.3,64.5,50.9,47.5,34.4,32.4
,,,84,89,144,62,142,307,184,24,24,73,81,3,105,94,196,50
145,Texas A&M,SEC,109,96.6,51.2,47.2,21.2,17.4,37.4,31.2,33.3,28.1,64.9,73,52.1,43.7,32.9,35.2
,,,88,45,145,35,320,249,8,256,239,33,325,309,60,13,266,182
146,Montana St.,BSky,102.7,109,51.2,52.3,16.6,18.4,27.2,27.7,36.3,50.6,73.2,71.2,47.7,50.1,37.2,37.2
,,,204,264,146,251,51,179,245,106,149,346,86,221,246,209,71,291
147,Saint Peter's,MAAC,103.1,96.2,51.2,48.1,17.3,20.9,25.5,25.9,33.1,29.2,70,68.9,47.3,48.4,38.1,31.9
,,,196,39,147,72,82,38,291,44,245,45,183,87,258,135,43,32
148,Boston University,Pat,101.8,103.7,51.2,50.5,20.2,20.7,28.1,28.5,33.4,37.2,69.6,68.5,50,47.5,35.3,36.5
,,,220,158,148,171,286,47,213,149,235,218,200,71,146,96,154,262
149,Oakland,Horz,104.8,99.9,51.2,46.3,18.4,18.9,29.3,29.1,37.7,28.5,76.3,69.9,51.9,45.3,33.3,32.2
,,,161,84,149,26,166,152,174,171,106,36,23,144,68,32,248,43
150,Auburn,SEC,113,103.5,51.1,50.6,17.9,19.9,30.3,33.3,42.5,38.8,67.2,72,48.5,48.7,36.6,35.7
,,,45,152,150,176,128,83,134,324,22,245,281,263,209,143,95,209
151,Clemson,ACC,116,99.9,51.1,51.9,15.8,20.1,31.4,32.2,34.3,24.1,73.1,76.6,49.8,51,35.7,35.6
,,,32,83,151,226,21,69,94,291,210,6,87,351,156,236,133,202
152,Mississippi St.,SEC,104.7,99.3,51.1,48.1,19,19.7,27.1,30.1,33.9,37.9,68.7,71,50.4,48.6,34.7,31.5
,,,163,75,152,73,216,97,248,220,222,227,231,212,123,141,177,25
153,Missouri St.,MVC,109.5,105.3,51,50.4,18.4,16.2,32.9,24.6,33.8,33,70.1,75.3,48.8,49.2,36.2,35
,,,80,193,153,167,159,308,61,17,226,118,180,347,195,162,115,170
154,Morehead St.,OVC,106,109.1,51,55.1,18.5,19.4,35.2,28.1,28.8,42.1,73.8,71.6,48,51.8,38.7,40.2
,,,139,265,154,332,175,120,25,123,325,309,71,243,232,261,26,345
155,Lamar,Slnd,103.3,109,51,51.9,19.5,21,31.2,29.4,40.3,42.2,67.6,72.4,49.3,53.1,35.8,32.9
,,,192,263,155,227,248,35,103,183,53,310,274,280,173,306,131,69
156,VCU 10,A10,108.8,96.8,51,47.5,17.8,21,31.3,27.5,36.4,40.9,70.5,69.7,51.5,46,33.1,33.8
,,,92,46,156,46,110,34,97,96,145,294,163,133,83,52,260,104
157,Northern Colorado,BSky,98.3,106.2,51,52.2,20.3,18.2,27.4,25.4,34.4,34.5,59.4,71.3,50.6,52,34.3,35
,,,287,208,157,241,289,197,233,31,204,163,351,235,118,266,201,172
158,Miami FL 8,ACC,111.4,94.1,51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,71.8,73.9,49.8,46.6,35.6,33
,,,60,20,158,48,246,191,51,127,206,39,119,330,152,66,141,72
159,Mount St. Mary's 16,NEC,99.8,102.5,51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,67.3,66,49.4,49.5,35.8,34.1
,,,262,123,159,140,231,23,327,337,264,111,278,12,167,176,130,116
160,American,Pat,96.5,108.7,50.9,52.5,19.6,20,20.9,28.1,31.3,40.2,62.2,70.2,52.1,51.5,32.5,36.5
,,,311,258,160,260,251,79,340,126,281,283,348,165,63,251,281,264
161,Colorado,P12,112.3,103.1,50.9,50.3,17.4,17.2,33,28.3,37.5,33.9,70.1,70.7,49.9,47.3,35.1,36.8
,,,51,138,161,159,90,258,57,133,114,149,178,193,150,89,167,275
162,Western Michigan,MAC,106,105.8,50.9,54,17.6,18.3,31.1,26.5,35,34.2,71.2,70.7,48.2,53.9,38.3,36.1
,,,141,199,162,317,98,190,105,58,180,159,140,192,221,323,39,233
163,Utah Valley,WAC,100.5,99.4,50.9,47.7,20.4,17.4,23.8,24.7,37.3,35.2,71.1,67.2,52.9,47.1,32.3,32.6
,,,250,76,163,54,295,248,321,22,121,181,142,26,43,82,296,59
164,Detroit,Horz,103,114.4,50.9,56.9,19.5,19.4,26.9,31.4,38.1,48.4,66.7,69.8,48.4,57.3,37,37.6
,,,197,329,164,349,249,122,260,273,97,342,288,141,214,349,79,302
165,Fresno St.,MWC,104.4,97.7,50.8,48.5,18.8,20.6,27.2,27.5,40.5,46.2,67.5,70.7,49.5,47.2,35.6,33.6
,,,167,55,165,82,200,49,244,100,49,336,275,198,166,87,139,90
166,Murray St.,OVC,106.3,110.8,50.8,52.1,16.9,17.9,31.8,29.6,34.9,38.5,74.3,71.3,48.5,51,36.1,35.9
,,,129,292,166,236,64,208,80,194,184,238,57,227,210,238,121,221
167,Monmouth,MAAC,107.6,100.3,50.8,47,16.7,19.5,29.7,30,37.3,35.7,75.7,71.1,47.6,45.1,37.3,33.4
,,,110,85,167,33,57,110,157,214,120,190,30,214,250,27,68,86
168,Milwaukee,Horz,99.8,108.6,50.8,53.9,18.1,17.5,24.5,26.8,27.4,32.3,66.2,70.3,49.8,54.2,34.9,35.7
,,,263,257,168,314,139,234,308,68,337,103,298,170,157,327,171,210
169,Rhode Island 11,A10,112,95,50.8,45,16.4,19.4,32.8,29.7,39.2,45,66.8,70.8,51.2,45.4,33.3,29.5
,,,54,27,169,9,45,117,63,201,73,334,286,203,93,35,247,5
170,Brown,Ivy,103.4,113.9,50.7,57.7,19.6,21.2,27.1,29.7,44.5,39.1,75.8,71.1,49,58.6,35.6,37.4
,,,190,325,170,350,253,31,250,202,7,252,29,213,190,351,138,298
171,Buffalo,MAC,104.4,102.8,50.7,48.2,19.8,17.5,33.2,29.2,37.3,42.9,68.7,68,51.4,45.8,33,35.1
,,,168,128,171,76,264,242,54,173,122,319,228,45,89,50,264,177
172,UMKC,WAC,103.5,108.1,50.6,52.6,19.7,20,27.1,32.2,38.4,41.7,71.3,68.1,47.3,53.4,36.9,34.1
,,,188,244,172,264,261,80,254,294,85,304,138,46,259,315,85,114
173,Illinois,B10,106,96.3,50.6,49.9,18.3,18.5,28.6,26.3,32.5,30.1,68.9,72.6,48.5,49.6,36.1,33.7
,,,143,41,173,141,154,175,201,53,260,59,223,289,205,182,120,97
174,Washington,P12,106.8,106.4,50.6,52.8,18.8,16.4,34.9,31.4,30.8,34.7,65.6,71.9,49.4,49.6,35.4,39.9
,,,120,212,174,276,204,304,27,268,290,169,317,259,172,181,150,343
175,Illinois Chicago,Horz,101.4,107.5,50.5,48.1,22.3,16.6,32.5,31.4,38.4,32.2,70.8,72.9,47.6,45.7,37,36
,,,232,233,175,74,341,297,68,269,84,97,155,303,251,47,83,226
176,Charlotte,CUSA,102.6,108.4,50.5,52.3,16.1,18.3,20.3,31,34,35.6,74.6,70.6,47.5,51.7,37.5,35.8
,,,206,255,176,252,33,186,344,251,220,188,50,183,254,256,63,218
177,Seattle,WAC,96.2,103.7,50.5,47.6,20.6,19,20.6,31.1,36.2,35.1,70.4,72.5,50.3,47.6,33.9,31.7
,,,316,156,177,49,308,149,343,255,150,177,166,284,130,101,222,30
178,Texas St.,SB,102.3,101,50.5,47.7,18.2,19.9,28.2,29.6,36.8,36.1,65.8,72.4,50.1,47.4,34.1,32.1
,,,215,97,178,55,148,84,210,198,138,198,312,281,140,91,213,39
179,Western Illinois,Sum,97.7,108.8,50.4,51.2,18.4,13.8,18.9,25.4,29,40.7,70.9,73.2,45.1,46.2,38.7,41.5
,,,296,260,179,200,161,351,348,32,322,289,151,312,316,58,27,349
180,UCF,Amer,104.6,93,50.4,42.7,22,14.7,32.6,25.5,39.9,22.3,66.1,70.7,48.9,39.9,35.2,31.3
,,,165,13,180,2,336,341,65,34,61,2,299,200,192,1,161,22
181,Mercer,SC,109.4,107.4,50.4,50,18,15.7,33.9,28.4,32.8,35.3,78.5,74.8,49.6,47.7,34.4,35.3
,,,82,230,181,147,131,323,42,138,252,183,6,342,161,111,197,185
182,Holy Cross,Pat,98.4,103.1,50.4,53.3,17.8,25.7,19.4,32.4,34.4,30.4,69.3,71.3,49.3,54.9,34.5,34.3
,,,285,137,182,303,115,2,347,307,205,61,215,232,174,337,189,127
183,Loyola Marymount,WCC,102.4,103,50.3,52.2,19,21.5,30,30,30.9,43.3,61.2,71.9,48.9,51.1,35.2,36.1
,,,209,135,183,242,215,26,145,212,285,323,350,261,193,241,158,237
184,LSU,SEC,109,110.4,50.2,54.6,19.8,16.9,31.2,31.3,31.5,36.9,69.8,71.3,50.2,52.9,33.6,38.2
,,,89,288,184,328,267,275,101,264,280,212,190,231,139,304,233,323
185,St. John's,BE,109.1,103.2,50.2,52.4,17.7,20.5,27.4,32.8,36.2,39.3,72.4,70.2,47.5,50.5,36.4,37.4
,,,85,142,185,258,107,50,234,315,153,259,104,160,255,221,101,297
186,New Orleans 16,Slnd,100.6,102.1,50.2,50.3,23.7,22.4,36.1,32.6,42.8,34.7,70.7,68.8,51.6,51.8,30.7,31.9
,,,246,115,186,160,349,14,17,310,17,166,160,82,79,259,327,33
187,Idaho St.,BSky,98.4,115.1,50.2,56.5,19.3,18.2,22,32.4,38.1,34.2,67.9,71.8,48.2,54.3,35.6,39.9
,,,282,334,187,344,238,196,335,306,96,157,264,253,224,331,142,342
188,Southeastern Louisiana,Slnd,97.3,103.9,50.2,49,22.8,21.6,35,30.8,37,39.6,68.6,70.9,48.3,47.6,36.1,34.5
,,,302,165,188,104,344,24,26,244,133,264,234,208,216,102,117,138
189,New Mexico,MWC,106,101.6,50.2,50.6,18.4,19,27,27.8,46,37.7,74.7,69,50.7,47.5,32.7,36.9
,,,142,107,189,177,163,147,256,112,1,222,47,93,116,95,272,283
190,James Madison,CAA,99.2,104.2,50.2,51.1,21.4,17.6,29.1,25.5,36.1,38.5,71.5,71.6,50.3,50.6,33.3,34.6
,,,269,170,190,196,323,232,187,35,156,237,132,245,131,225,249,145
191,New Hampshire,AE,101.4,102.9,50.2,49.9,18.3,14.6,27.2,21.7,34.1,29.3,72.2,63.7,49.5,50.1,34.2,32.9
,,,231,131,191,142,151,342,240,1,218,47,110,1,165,208,210,70
192,Valparaiso,Horz,105.4,100.8,50.1,47.4,18.2,17.9,30.4,26.8,36.9,32.4,77.9,69.2,50.5,46.4,33,32.8
,,,150,93,192,42,144,209,128,65,136,105,8,103,121,61,263,67
193,Northwestern St.,Slnd,101,113.2,50.1,53.9,20.8,19.2,29.6,32.4,41,39.4,69.5,67.2,47.9,52.5,36.3,37.8
,,,239,317,193,315,317,137,160,303,38,261,207,27,234,294,106,310
194,Western Kentucky,CUSA,102.8,108,50.1,52.3,18,15.8,27.3,26.7,37.2,24.7,67.1,70.7,48.5,50.4,35.4,36.8
,,,203,240,194,253,129,320,237,63,127,8,284,199,213,217,153,274
195,UC Irvine,BW,102.9,99.2,50,44.1,19.9,15.3,31.9,26.4,29.7,40.2,68.5,69.7,48.2,41.6,35.6,32.7
,,,200,73,195,6,273,333,77,56,306,284,235,134,219,6,146,61
196,Marist,MAAC,101.7,113.4,49.9,52.6,18.4,15.7,21.6,32.9,37.9,37,72.5,73.8,49.9,50.5,33.3,37.7
,,,223,319,196,265,172,325,336,319,101,213,103,327,151,219,251,306
197,Idaho,BSky,102.2,106,49.9,49,18.7,17.7,30.3,25.9,39.9,43,71.3,75.5,47,46.6,36.4,34.7
,,,216,204,197,105,194,221,136,43,62,320,135,349,269,67,103,151
198,Drexel,CAA,102.7,109.7,49.9,53.1,18.5,17.4,30.4,30.5,31.6,39.9,66.6,69.2,48.5,52.6,34.9,36
,,,205,275,198,290,178,246,133,231,277,274,289,107,211,300,172,228
199,Dartmouth,Ivy,99.7,112.2,49.9,53.3,21.7,15.8,27.7,27,33.8,30.7,70.9,70.9,48.1,53.7,35.2,35.1
,,,265,308,199,304,328,322,225,73,227,67,153,207,227,319,160,175
200,Seton Hall 9,BE,109.7,96.6,49.9,49,19.5,17.5,35.7,25.4,37.6,36.1,64.3,71.9,49.6,48,33.8,34.1
,,,75,44,200,106,243,241,19,30,110,197,336,260,160,119,227,118
201,Stetson,ASun,100.2,115,49.9,52.9,14.9,15.1,21.1,33,32.6,32.2,66.2,69.2,49.9,52.6,33.4,35.6
,,,256,333,201,280,8,336,339,322,258,98,297,108,148,298,246,205
202,Siena,MAAC,106.2,106.9,49.9,50.3,19.7,17.2,35.5,29.3,40,35.5,71.1,72.1,50.2,50,32.7,33.9
,,,134,217,202,161,258,260,23,176,59,184,145,267,136,202,273,109
203,Central Arkansas,Slnd,103.7,118.2,49.8,55.1,19.1,15.7,28.8,31.7,35.9,32,71.8,69.5,46.7,52.2,37.5,39.2
,,,184,344,203,333,220,326,198,278,162,91,122,116,279,280,65,334
204,Air Force,MWC,103.9,108.2,49.8,54.6,17.9,17.5,26.5,24.6,37.4,32.6,71.6,71.6,47,54.4,36.2,36.6
,,,177,245,204,329,117,233,267,19,119,109,130,244,272,333,114,268
205,Sacramento St.,BSky,101,112.3,49.8,52.3,16.8,15.8,27.4,29.3,37.3,33.1,66.1,70.8,51.1,49.5,31,38.5
,,,238,309,205,254,58,319,232,179,124,123,302,204,97,173,324,328
206,FIU,CUSA,103.4,112.7,49.7,53.2,19.2,16.8,29.8,28,28.5,36.7,75.6,72.7,50.2,52.6,32.4,36.3
,,,191,313,206,299,225,280,153,120,328,205,33,292,138,297,291,253
207,Cal St. Northridge,BW,104.3,115.4,49.7,51.9,17.9,17.8,27.7,31.8,45,41.7,74.1,72.9,49.4,49.6,33.7,38.4
,,,170,336,207,228,127,214,226,285,5,303,61,301,171,180,229,325
208,St. Bonaventure,A10,108,101.4,49.7,49.9,17.6,20.9,33,31,42.4,41.5,76.9,69.2,48.5,48.1,34.8,35.3
,,,103,101,208,143,102,40,60,249,23,300,16,104,207,121,174,184
209,Northwestern 8,B10,111.9,95.8,49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,74.8,66.9,48.8,44,34.2,33.3
,,,57,35,209,23,28,207,116,237,296,199,45,20,194,15,208,84
210,Columbia,Ivy,101,106.8,49.7,52,18.4,20.2,27.9,31.8,29.1,34.8,71.1,68.8,47.1,50.4,36.1,36.1
,,,240,216,210,233,171,65,221,284,320,171,146,81,267,218,118,236
211,Temple,Amer,108.6,103.3,49.7,49.1,16.6,18.3,27.5,32.2,26.4,32.1,72.3,72.7,47,47.7,35.6,34.3
,,,95,145,211,111,53,187,231,293,344,96,106,294,268,114,140,126
212,Massachusetts,A10,100.4,100.3,49.7,46.9,20.3,19.6,28.1,30.2,34.6,44.5,66,70.4,53.3,44.5,29.7,34.5
,,,254,88,212,32,294,105,216,227,191,331,305,175,37,21,339,140
213,Bryant,NEC,101.8,112.4,49.7,51.5,18.8,17.6,29.2,30.6,32.8,37.4,72.1,74.1,49.2,52.1,33.7,33.6
,,,222,311,213,212,202,229,182,238,254,221,114,335,177,276,230,91
214,Oral Roberts,Sum,103.7,110.3,49.6,54.7,16.7,16.1,25,29.4,30.6,32,76.6,70.1,47.9,51.8,35.4,39.6
,,,183,283,214,330,56,311,298,189,295,93,20,154,237,262,151,338
215,South Dakota,Sum,103.7,103.8,49.6,50.8,16.2,18.5,27.5,27.3,42.7,31.9,70.2,73,48.8,47.7,34.2,37.5
,,,185,161,215,187,38,172,230,87,20,89,173,308,196,113,207,300
216,Fairleigh Dickinson,NEC,102.9,111.8,49.5,51.8,18.9,19.4,27.4,34.2,36.1,44,77.3,69.7,49.8,51.9,32.7,34.4
,,,199,304,216,221,212,121,236,333,157,325,12,129,153,264,271,132
217,Savannah St.,MEAC,100.1,114.8,49.5,52.9,17.8,19.3,27.6,35.8,32.3,31.7,64.6,67.1,52,55.9,31.8,32.6
,,,260,331,217,281,116,129,228,346,267,84,331,25,64,342,307,60
218,George Washington,A10,107.9,104.7,49.5,50.2,19.3,16.2,32.7,26.4,36.6,26.9,74.6,72.7,45.6,48.9,37.1,35.4
,,,108,179,218,155,232,310,64,55,142,20,48,293,304,152,78,191
219,Nicholls St.,Slnd,101.3,113.1,49.5,55.6,20.4,20.4,26.8,37.6,35.8,33.5,73.8,68.9,49,51.7,33.5,41.7
,,,234,316,219,339,303,54,263,351,165,136,70,85,191,255,235,350
220,Sacred Heart,NEC,98.1,108.9,49.5,52.8,22,19.5,30.9,27.1,35,33.3,70.1,69.1,49.2,50.5,33.5,37.9
,,,289,262,220,277,337,116,111,78,179,127,181,100,180,220,236,315
221,College of Charleston,CAA,105.5,100.3,49.4,48,15.9,18.6,25.4,28.9,42.7,31.9,74.1,66.3,49.1,48.9,33.2,31.1
,,,147,87,221,66,23,164,292,166,19,88,60,13,182,151,255,18
222,Eastern Kentucky,OVC,99.2,107.3,49.4,51.4,19.8,19.2,25.2,32.9,37.4,40.5,71.2,73.7,50.1,49.8,32.3,36.2
,,,270,226,222,208,269,136,295,318,117,288,139,326,141,192,295,245
223,Pepperdine,WCC,102.4,114,49.4,56.8,18,15.7,26.1,29.2,29.5,28.9,64.1,70,46.9,53.1,37.5,42
,,,212,326,223,348,133,324,277,175,314,40,337,153,277,307,64,351
224,The Citadel,SC,105.1,116.4,49.3,57.9,17.2,19.7,28,35.4,32.8,40.9,74.4,71.2,47.8,57.7,33.9,38.9
,,,155,338,224,351,80,93,219,343,256,296,54,219,240,350,221,330
225,George Mason,A10,106.8,104.6,49.3,48.6,18.7,14.2,31.6,24.5,39.7,27.7,75.1,69.1,48.5,48.4,34.2,32.7
,,,119,178,225,86,192,349,85,13,66,29,41,98,204,134,211,62
226,Longwood,BSth,92.1,118.2,49.3,55.1,21.9,17.4,21.5,34.1,29,32.2,72.9,69.8,49.6,52.5,32.5,40
,,,343,343,226,334,334,250,337,331,323,100,95,138,164,292,284,344
227,Stephen F. Austin,Slnd,96.3,103.9,49.2,52.1,24.8,22.9,34.7,28.4,40.6,44.4,71,67.5,50.3,52,31.4,34.9
,,,313,163,227,237,350,10,29,137,45,328,149,32,133,267,321,168
228,Lafayette,Pat,96.1,112.7,49.1,54.5,20.7,18.2,20,29.1,29.4,30.4,71.1,67.6,49.2,52.2,32.6,38.4
,,,318,314,228,327,311,198,346,172,317,62,147,33,181,279,277,327
229,Cal St. Fullerton,BW,97.9,103.9,49.1,49.7,20.7,19.6,30.3,27.5,39.9,42.1,70.2,72.6,50.6,48.8,30.8,34.3
,,,295,164,229,131,309,106,135,98,63,308,174,287,117,147,326,129
230,Houston Christian,Slnd,104.9,111.5,49.1,53.2,19.3,18.5,35.7,28.6,37.8,38.7,71.9,74.6,48.6,52.6,33.5,36.2
,,,159,300,230,300,235,177,20,152,104,242,118,340,203,299,238,244
231,Little Rock,SB,98,104.8,49.1,51.8,19.5,19.9,28.4,27.6,32.3,40.3,73.7,72.2,48.2,50.2,33.8,36.2
,,,291,181,231,222,244,85,206,102,266,286,74,268,222,214,226,243
232,Youngstown St.,Horz,101.9,113.5,49.1,53,16,16.4,26.3,31.4,25.9,29.1,67.3,71.5,49,53.5,32.8,34.6
,,,218,321,232,285,29,303,272,274,348,42,279,241,185,316,268,147
233,Rider,MAAC,100.9,105.3,49,49,19.6,18.1,33,27.1,37,35.9,67.2,74.2,48.7,48,33.2,33.7
,,,243,191,233,107,250,200,59,77,134,193,280,337,198,120,256,98
234,Memphis,Amer,106.8,101.5,48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,68.3,68.7,51.1,47.7,29.5,33.7
,,,121,104,234,96,43,125,88,236,140,125,241,80,95,109,342,99
235,Tulsa,Amer,104.5,103.3,48.9,50.4,21.8,18.4,29.5,28.3,42.8,33.1,72.9,70.5,47.2,48.2,34.3,35.9
,,,166,146,235,168,331,183,163,134,18,119,94,178,263,127,200,224
236,Duquesne,A10,102.4,106.9,48.9,49.9,20,17.6,29,30.2,37.1,33.3,67.6,70.7,48.3,47.9,33.4,35.9
,,,208,218,236,144,280,230,189,225,128,126,271,197,218,116,245,225
237,Mississippi,SEC,111.1,101.4,48.8,49.8,19.3,18.8,33.9,30,42.8,35.6,75.2,70.1,46.8,46.7,34.7,36.3
,,,61,100,237,136,236,157,43,211,16,186,37,155,278,72,181,250
238,Texas,B12,104.1,94.6,48.8,48.1,19.6,18.3,28.4,31.2,34.5,30,65,71.6,51.3,47.7,29.2,32.5
,,,172,23,238,75,255,193,205,261,200,56,322,248,90,108,345,56
239,Evansville,MVC,106.7,103,48.8,49.6,17.9,18.5,27.1,27.1,45.8,40.9,71.1,70.9,47.2,47.9,36.9,34.9
,,,122,133,239,124,119,174,252,81,2,292,144,206,262,117,87,163
240,Eastern Michigan,MAC,106.4,105.3,48.8,50.4,17.1,21.5,33.6,35,35.3,50.8,72.1,71.7,48,50.2,33.6,33.9
,,,127,192,240,169,77,25,48,339,172,347,112,251,228,215,232,108
241,Binghamton,AE,95.7,110.2,48.8,52.2,18.6,17.1,23.5,28.2,30.8,32.2,69.3,68.5,47.1,51.3,34.4,35.7
,,,323,282,241,243,186,266,323,132,289,99,214,72,266,248,195,212
242,Minnesota 5,B10,110.1,93.9,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,71.1,68.2,47.5,44.5,34.3,30.9
,,,70,19,242,10,31,222,155,224,68,43,141,55,252,22,202,13
243,Long Beach St.,BW,105.1,108.7,48.7,53.1,19.9,18.6,31.6,33,36.2,37.7,72.6,69.9,47,51.3,35.1,37.9
,,,156,259,243,291,277,170,89,320,154,223,101,147,273,249,164,314
244,Charleston Southern,BSth,103.2,117.1,48.7,54.3,16.2,16.8,27.4,27.4,35,41.6,67.7,73.9,48,53.2,33.3,37.3
,,,195,339,244,320,39,279,235,93,181,302,270,332,231,309,250,296
245,NJIT,ASun,98.9,110.1,48.7,55.2,19.7,18.4,30.5,25.2,33.3,36.3,70.4,71.3,47.7,53.7,33.4,38.4
,,,275,280,245,335,257,180,126,28,242,202,169,230,248,320,243,326
246,Tennessee St.,OVC,100.1,98.9,48.7,48.5,21.7,21.4,34.2,28,39.5,48.7,69.6,69.1,48.3,45.4,33.1,35
,,,257,66,246,83,329,29,35,118,69,344,199,101,217,37,259,173
247,Prairie View A&M,SWAC,98,112,48.6,52.9,18.8,21.7,24.7,35,35.4,49.5,69.9,69.3,46.4,52.2,34.9,36.2
,,,294,305,247,282,207,22,307,341,170,345,188,111,287,282,170,242
248,Miami OH,MAC,95.4,105.9,48.6,51.4,20.1,20.7,24.9,31.8,37,40,69.7,73.6,49.8,50.8,30.9,34.8
