RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
174,Southeastern Louisiana,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
175,Eastern Kentucky,-0.1,-0.1,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
176,Princeton,-0.3,-0.3,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
177,South Carolina St.,0,0,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
178,UCF,-0.2,-0.3,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
179,Iona,-0.6,-0.6,0,3,0,3,0,0,0,0,0,0,0,0.60%,0.00%
180,Mississippi Valley St.,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
181,South Carolina,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.00%
182,Vermont,0.5,0.6,1,3,0.25,3,1,0,0,0,0,0,0,0.50%,0.00%
183,Northern Arizona,-0.3,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
184,Lafayette,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
185,VCU,0.3,0.1,1,2,0.333,2,1,0,0,0,0,0,0,1.00%,0.00%
186,Holy Cross,-0.9,-0.5,0,4,0,4,0,0,0,0,0,0,0,0.70%,0.00%
187,Hampton,0.7,0.8,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
188,UT Arlington,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
189,Alabama St.,0,0,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
190,New Mexico St.,-0.3,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
191,American,-0.2,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
192,Ball St.,-0.5,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
193,IUPUI,-0.1,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
