RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
29,Portland St. 13,BSky,108.1,105,53.5,51,19.8,21.4,32.7,32.6,29.8,32.6,67.1,70.6,51.1,50.4,37.6,34.8
,,,80,239,29,253,120,123,166,168,322,82,237,264,60,266,41,202
30,Cornell 14,Ivy,107.4,102.1,53.5,46.5,19.5,19.9,32.6,30.3,32.4,33.9,73.3,70,50.1,46.8,40.2,30.5
,,,88,172,30,55,100,197,171,71,276,119,43,237,88,110,9,20
31,Robert Morris 15,NEC,102,100,53.4,48.8,22.4,23.6,32.4,32.5,36.7,39.6,70.4,66.8,50.9,45.7,39.4,36.6
,,,173,131,31,148,263,31,181,163,167,248,119,57,67,75,14,290
32,Kentucky,SEC,107.7,93.5,53.4,44.9,24,20.4,35,31.8,40.1,33.3,77.3,69,53.6,40.8,35.3,35.2
,,,84,32,32,25,314,179,94,129,67,102,7,173,17,4,111,235
33,Troy,SB,107.9,109.8,53.3,52.9,17.3,19.4,30.5,33.4,31,29.5,69.6,68.3,51.4,50.8,37.6,37.4
,,,81,306,33,315,18,238,247,211,302,29,148,130,56,277,43,316
34,UC Davis,BW,104.3,109.2,53.2,52.4,20.5,18.8,25.7,31,37.9,40,77.9,67.8,52.5,52.3,36.2,35.1
,,,131,298,34,302,168,280,333,101,135,258,4,100,31,320,77,229
35,Kansas 3,B12,114.4,90.4,53.2,44,20.8,19.4,36.7,29.2,39.5,35.1,72.5,72.6,52.2,40.8,37.1,33.4
,,,24,9,35,8,186,244,53,40,85,143,58,324,38,5,54,117
36,Vermont,AE,107,98.7,53.2,46.9,20.7,22.8,32.4,33.6,45.3,36.3,69.9,68.2,52.4,44.9,36.9,34.4
,,,92,97,36,70,184,58,179,217,13,170,135,121,32,54,59,175
37,Utah Valley,ind,104.7,104.1,53.2,46.5,20,16.9,31.2,29.5,38.4,38.9,77.6,67.9,50.2,47.8,39.2,29.2
,,,124,213,37,56,133,330,231,47,115,235,5,103,86,146,19,5
38,Rhode Island,A10,112.6,101.5,53.2,50.7,18.8,21.1,36.9,33.1,34.1,33.9,69.7,68.5,51.1,51.3,39.2,33
,,,35,155,38,244,64,137,49,194,228,118,145,142,59,293,18,95
39,Arizona 12,P10,118.4,101.7,53,51,19.4,18.4,35.9,34.4,37.5,25.1,73.8,69,51,50,38.7,34.9
,,,5,159,39,254,97,300,66,240,149,6,35,177,64,250,22,211
40,Iowa,B10,107.7,99,53,49.8,21.6,19.1,28.2,31,33.8,32,74.4,68.6,51.6,48,36.4,35.3
,,,83,109,40,199,222,263,302,100,236,71,26,144,47,154,72,240
41,Georgetown,BE,110.3,92.7,53,45.9,22.2,21.8,33.4,36.3,41.9,33.3,71.5,70.8,54.8,44.7,33.2,32.1
,,,55,23,41,42,254,104,142,300,39,101,85,274,7,45,206,51
42,Belmont,ASun,105.7,101.9,52.9,49.8,20.3,22.3,32.4,33.1,33.9,36.4,68.4,66.4,52.7,50.2,35.4,32.7
,,,108,169,42,200,156,81,180,198,233,176,186,43,28,258,103,79
43,Pittsburgh 1,BE,121.4,93.2,52.9,46.5,18.2,19.2,42.5,30.1,33,30.2,67.5,70.2,52.8,45.1,35.4,32.9
,,,2,27,43,57,41,254,1,67,261,40,222,243,25,59,107,92
44,Austin Peay,OVC,106.1,108.7,52.9,52.3,19.5,19.8,32,33.2,37.4,39.6,68.8,70.6,52,51.2,36.5,36.1
,,,103,295,44,300,103,207,199,203,152,247,179,261,41,289,69,270
45,Clemson 7,ACC,116.6,96.5,52.8,48.3,20.2,24.4,39.8,37.1,31.5,32.5,68.8,66.7,51,46,37.4,35.9
,,,14,66,45,125,152,14,12,315,289,81,178,53,65,81,47,267
46,North Carolina 1,ACC,123.8,92.7,52.8,46.6,16.6,20.7,39.2,32.2,39.8,25.4,75.6,69.2,51,44.7,38.5,33.6
,,,1,24,46,61,10,159,19,143,76,7,14,188,63,46,24,127
47,Oregon St.,P10,105.7,100,52.8,51.9,21.7,19.7,27.7,32,30.2,29.4,64.8,69.7,52.6,52.1,35.5,34.4
,,,107,129,47,287,231,223,310,141,313,26,293,221,29,314,101,176
48,Louisville 1,BE,112.8,86.5,52.7,44.3,19.9,23.3,35.2,32.4,31.4,30.2,64.2,68.1,51.1,43.3,36.9,30.9
,,,32,2,48,12,126,40,85,157,293,41,303,118,58,26,58,25
49,New Mexico,MWC,111.9,96.1,52.7,47.5,18.4,21.4,30.7,27.1,46,47.9,70.2,72.8,50.3,44,38.1,35.3
