RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
,,,46,58,120,158,34,127,286,206,330,34,13,320,81,251,194,33
121,UCF,CUSA,105.4,103,50.2,49.9,21.1,20.6,35.2,33.3,33.7,42.7,74.3,69,49.6,48.7,34.2,34.6
,,,111,189,121,207,206,169,87,207,239,289,28,176,104,198,156,190
122,Memphis 2,CUSA,112.6,84.2,50.1,41.4,18.3,22.4,38,30.4,39.9,35.5,69,68.6,50.6,40,32.6,30
,,,34,1,122,1,46,71,29,73,71,153,167,147,72,2,234,11
123,Ohio,MAC,100.8,101.9,50.1,50.4,21.8,23.1,28.9,32.3,39.6,39.4,70.7,66.9,47.8,50.4,36.2,33.7
,,,195,167,123,229,236,49,282,154,82,243,107,63,176,267,73,133
124,Jacksonville,ASun,107,103.8,50.1,51,20.8,23.2,39.5,30.7,40.7,42.1,69.2,66.3,49,48.8,35,37.4
,,,91,211,124,256,188,44,15,81,58,286,163,41,128,205,120,317
125,Notre Dame,BE,115.7,98.8,50,47.8,13.9,14.7,31.5,30.8,27,27.2,71,66.9,45.2,47,39.2,33.1
,,,18,100,125,108,1,343,211,88,338,14,99,62,272,121,20,104
126,Tulsa,CUSA,104.8,93.3,50,43.6,21.8,17.2,34,28.2,41.3,37.9,69.7,67,49.6,44.4,33.9,27.8
,,,123,30,126,5,234,325,126,23,45,209,143,68,102,39,172,1
127,Southeastern Louisiana,Slnd,100.3,103.2,50,47,20.3,19.7,30.5,33.5,32.9,42.9,62.3,68,50.4,43.5,32.8,37
,,,206,195,127,78,157,217,250,215,263,293,325,116,79,29,232,308
128,Princeton,Ivy,95.5,103.5,50,44.7,22.3,19.9,26.3,30.7,30,42.9,75.1,69.6,46.2,45.1,37.4,29.1
,,,275,203,128,17,258,204,325,84,315,295,20,211,243,62,50,4
129,Purdue 5,B10,110.1,88.8,50,44.1,17.3,22.4,29.4,31.8,33.2,31.3,70.3,67,49,41.8,34.7,32.8
,,,59,5,129,9,17,70,271,132,253,58,121,67,126,10,131,86
130,Mississippi St. 13,SEC,108.2,96,50,44.7,19.9,19,31.2,35.8,41.1,29.5,70.4,65.4,47.4,42.1,35.9,33.7
,,,77,56,130,18,132,270,228,283,48,27,118,23,192,15,92,134
131,LSU 8,SEC,112,96.7,49.9,45.6,17.7,19.2,37.6,30.8,35.4,35.2,71.6,69.2,47.6,44.9,37.2,31.5
,,,41,67,131,34,26,253,31,85,197,145,82,191,183,56,52,36
132,San Diego St.,MWC,108.5,92.6,49.9,46.9,20.2,23.1,36.7,33.2,33.4,33.1,70.6,70.5,49.1,46.6,34.5,31.6
,,,71,20,132,73,149,48,52,201,243,95,108,257,119,102,136,39
133,Wisconsin 12,B10,112.2,94.8,49.9,48.9,16.6,19.4,31.3,25.8,34.6,34.1,72.6,71.8,47.7,49,36,32.6
,,,40,44,133,155,9,237,222,5,213,122,57,306,181,214,87,72
134,Bradley,MVC,105.1,101,49.9,49.6,22.1,22.7,33.5,34.9,44.5,34.5,71.9,73.1,50.2,48.4,32.8,34.5
,,,116,149,134,190,248,62,138,262,19,133,74,334,87,183,229,183
135,Louisiana Tech,WAC,100.6,99.5,49.9,48.3,23.6,21.3,34.9,32.4,42.3,33.6,65.9,68.8,46.7,48.2,38.4,32.2
,,,199,119,135,128,305,134,95,158,33,106,264,163,221,175,27,53
136,UC Santa Barbara,BW,99,98.9,49.8,51.2,23.3,24.2,32.7,31.5,39.5,39.3,69.4,66.8,49.5,48.6,33.5,37.3
,,,221,108,136,264,297,18,168,120,89,240,153,58,109,193,188,315
137,Radford 16,BSth,100.1,101.9,49.8,46.9,22.6,16.8,35.3,29.1,42.8,30.1,67.7,70.5,49.1,44.9,34.5,33.5
,,,211,164,137,74,272,332,83,36,28,38,209,258,120,55,142,124
138,Michigan St. 2,B10,114,90.2,49.8,47.2,20.9,20.3,40.7,27.1,41.1,36.5,69.8,69.6,48.5,47,35.4,31.8
,,,25,8,138,81,196,182,6,8,49,177,140,214,146,120,104,42
139,Cal St. Fullerton,BW,104.6,107.6,49.8,51.8,18.9,21.5,32.1,38.3,32.5,33.2,71.3,68.5,49.1,50,34,36.9
,,,127,277,139,285,69,120,192,329,275,99,91,141,124,252,163,303
140,Saint Mary's,WCC,110.5,97.4,49.8,45.8,18.6,18.4,39.3,29.9,39.9,29.2,68.9,69,49.8,44,33.3,33.9
,,,52,71,140,40,55,299,18,58,72,24,175,181,96,34,203,153
141,George Mason,CAA,103,96,49.8,45.6,18.6,20.2,34.1,31.1,33,29.8,64.4,66.7,49.8,45.2,33.1,30.9
,,,147,57,141,35,58,188,118,104,260,33,301,54,93,63,216,26
142,Boston College 7,ACC,113.4,100.7,49.7,47.4,19.7,18.4,40.6,37.1,36.6,34.8,73.8,69.4,49.4,46.7,33.4,32.8
,,,30,142,142,92,112,301,7,314,171,136,33,201,113,106,197,88
143,Texas St.,Slnd,101.4,105.3,49.7,51.1,21.4,22.5,34,31,38.8,57.6,66.8,72,48,50.2,35.3,35.3
,,,183,245,143,258,216,66,128,99,106,344,245,316,170,259,110,241
144,South Dakota St.,Sum,103.3,108.4,49.7,52.1,19.8,17.3,34,32.3,33.4,32.8,70.3,69.3,49.2,53.3,33.8,32.8
,,,142,292,144,296,119,324,123,153,247,89,123,196,116,331,176,87
145,Little Rock,SB,99.4,98.2,49.7,45.4,22.6,21.1,33.4,31.5,44.9,40.4,66.9,70.2,48.3,44.2,35.7,31.9
,,,219,85,145,32,273,141,144,119,15,262,239,244,150,37,96,47
146,Tennessee St.,OVC,100.8,111.6,49.7,51.8,22.2,19.1,34.3,36.3,39.3,38.8,67.6,68.6,49.7,52.5,33.2,33.6
,,,196,321,146,286,253,264,110,298,94,231,217,150,97,325,212,129
147,St. Francis NY,NEC,94.6,108,49.6,49.1,23.1,20.7,29,35.9,33.6,44.5,64.4,67.7,45.6,47.8,36.4,34.8
,,,284,285,147,162,293,164,279,288,240,311,302,99,264,148,70,206
148,Minnesota 10,B10,106.5,92,49.6,47,22.4,23.3,35.8,33.9,34.5,36.1,71.8,72.6,49.6,43.3,33,35.5
,,,99,18,148,79,264,43,71,227,216,167,76,325,105,27,218,249
149,Western Carolina,SC,99.5,106.6,49.6,54.5,21.1,23.8,36.7,34,32.4,52.1,63.3,67.3,47.9,52.2,35.1,39
,,,218,261,149,333,207,24,55,228,277,340,313,81,173,318,117,337
150,Coastal Carolina,BSth,95.3,107.8,49.5,50.3,23.7,20.5,34.8,34.7,31.4,34.4,61.8,68.7,49.5,49.1,33,34.6
,,,276,281,150,226,310,174,97,249,294,132,329,159,107,216,220,192
151,UC Irvine,BW,104,108.6,49.4,52.1,18,18.4,27.3,31.7,31.9,37.9,76,73.7,43.9,50.9,40.7,36.5
,,,137,294,151,297,32,298,316,126,286,211,10,340,300,282,5,286
152,IPFW,Sum,100.6,106.3,49.4,51.5,19.9,19,26.2,32.9,36.4,37,73.5,69.2,44.3,52.1,40.8,33.5
,,,200,257,152,278,128,269,328,183,180,193,40,189,289,316,3,122
153,Mount St. Mary's,NEC,100.4,99.7,49.4,46.9,19.9,22.3,35.5,32.9,34.3,35.2,67.4,69.5,49.2,45.2,33.3,33.8
,,,205,126,153,75,127,80,78,179,219,146,225,209,118,64,200,145
154,George Washington,A10,101.8,103.1,49.4,47.7,22.2,18.7,34,35,38.5,37.5,68,68.4,47.2,45.2,36.2,34.2
,,,176,191,154,102,252,286,125,264,113,198,195,137,203,66,78,165
155,Binghamton 15,AE,101.6,102.3,49.4,46.6,19.7,21.6,31.7,35.5,40.8,41.6,68.2,70.3,49,45.4,33.5,32.9
,,,178,176,155,62,111,114,204,277,53,278,189,247,127,69,190,93
156,Texas Southern,SWAC,92.6,111.4,49.3,52,25.5,22.1,32,37.5,40,51.2,61.5,67,49.7,51,32.2,36.3
,,,304,319,156,292,337,91,201,323,70,339,334,71,99,283,254,280
157,Tennessee Tech,OVC,97.3,104.2,49.3,50.1,21.9,22.4,34.1,36.3,33.3,44.4,69,67.1,47,48.7,36.2,35.7
,,,246,217,157,216,240,75,122,299,249,309,171,73,208,199,74,255
158,Miami FL,ACC,110.4,95.2,49.3,46.2,19.7,18.9,38.6,32,38.2,31,67.9,72.8,46,44.8,36.6,32.3
,,,53,50,158,46,108,275,23,136,124,55,198,329,250,52,68,58
159,Arkansas,SEC,104.9,100.9,49.3,51.3,19.2,20.9,33.9,31.1,37.3,31.7,65.1,66.4,49.1,48.8,33.2,36.9
,,,120,146,159,272,86,148,129,105,155,66,284,44,125,204,208,304
160,Northeastern,CAA,104.5,99.6,49.2,48.1,20.5,22.8,33.1,33.3,38.5,38.5,73.2,69.8,48.3,46.9,34,33.7
,,,128,122,160,121,172,56,151,208,114,225,45,226,154,116,162,137
161,Mississippi,SEC,111.1,102.4,49.2,48.8,19.2,17.6,35.6,34.9,34.2,36.9,72.8,67.4,48.2,48.8,34,32.6
,,,48,180,161,151,88,323,74,259,224,190,54,82,157,206,165,76
162,Florida St. 5,ACC,105.8,90.7,49.2,44.7,22.9,22.3,34.6,35.4,39.2,35.7,72.5,68.8,48.1,42.1,34.2,32.7
,,,106,10,162,19,287,82,100,275,95,159,59,160,161,14,154,80
163,St. Bonaventure,A10,98.2,100.2,49.2,47.2,23.6,19.6,34.6,31.4,37,39.1,66.8,65.1,49.8,46.2,31.5,32.9
,,,236,134,163,82,304,231,101,115,160,238,243,19,94,87,283,94
164,Drake,MVC,101.1,99.1,49.2,49.2,20.1,20.5,28.6,30,40.5,28.2,75.3,67.1,47.1,47.4,34.5,34.5
,,,185,113,164,168,143,170,289,66,61,17,19,72,204,135,138,179
165,UNLV,MWC,105.4,94.4,49.2,48.4,17.6,23.5,28.7,32,37.9,34.3,68.3,70.6,47.6,46.1,34.5,35.4
,,,112,39,165,131,22,32,287,139,131,125,187,262,185,85,134,244
166,Gardner Webb,BSth,100.2,107.8,49.1,51.2,20.4,19.4,34.1,33,31.5,38.4,68.1,68.9,47.2,51.7,34.8,33.5
,,,209,279,166,265,164,243,120,186,292,223,193,169,202,307,129,123
167,San Francisco,WCC,104,110.4,49.1,53.6,19.7,19.6,29.5,33.7,39.7,36.8,69.3,68.7,46.7,52,35.4,37.7
,,,136,312,167,325,110,226,269,221,81,183,160,153,224,311,106,326
168,Mercer,ASun,104.5,109.4,49,49.9,22,18.2,37,34.9,38.8,33.8,72.3,67,48.6,48,33.2,35.6
,,,129,300,168,208,243,307,42,258,105,113,67,66,143,160,213,254
169,Virginia Tech,ACC,110.2,98.5,49,48,19.5,18.5,35.3,31.6,40.9,33.2,72.4,72.9,48.4,46.6,33.7,33.8
,,,57,92,169,119,101,295,84,122,52,97,62,331,149,103,183,144
170,Rice,CUSA,98.8,104.2,48.9,50.4,20.2,18.1,27.7,34.4,33.3,37,68.9,69.7,44.6,48.1,38.2,36.7
,,,229,216,170,230,150,314,311,242,250,194,176,218,286,169,31,294
171,North Texas,SB,108.2,107.4,48.9,50.6,18,17.6,34.4,30.5,48.6,43.9,73.6,67.9,46.8,49.9,35.5,34.9
,,,76,270,171,240,30,321,108,77,2,306,39,105,217,245,102,215
172,Georgia Southern,SC,97.1,112.3,48.9,54.2,20.8,19.7,31.5,37,30,42.7,66,66.6,47.6,52.4,34.1,38.4
,,,249,327,172,330,195,221,217,313,318,290,261,50,187,321,159,331
173,La Salle,A10,105.1,99.6,48.9,48.4,20.8,18.7,36.7,30,39.8,32.8,68.5,68,48.3,46.3,33.5,35.6
,,,114,124,173,132,187,285,51,63,78,87,184,114,156,95,193,253
174,Oral Roberts,Sum,102,95.1,48.8,47.3,20.7,20.7,35.5,31.1,41,35,67.1,70.7,49.9,45.6,30.8,34.9
,,,172,47,174,89,180,161,77,103,51,142,234,269,91,71,308,218
175,Washington St.,P10,104.2,89.1,48.8,44.7,19.2,17.6,27.3,25,27,33.7,76.9,70.5,47.5,40,34.5,36.2
,,,132,6,175,20,81,322,315,2,337,112,9,252,190,3,141,272
176,Western Illinois,Sum,96.3,110.2,48.8,52.8,21.5,19.9,29.3,33.7,30.2,42.8,71.1,72.5,44.3,50.5,40.2,38.7
,,,264,308,176,312,219,203,273,222,314,292,97,322,290,269,10,334
177,Eastern Illinois,OVC,95.6,106.3,48.8,50.5,20.5,19,31.5,31.9,32.7,33.6,71.5,69.4,47,47.3,35.8,36.8
,,,272,258,177,236,169,273,215,134,271,108,86,202,209,131,94,299
178,South Carolina St.,MEAC,96.6,106.8,48.8,47.2,25.3,18.8,36.8,30.8,37.6,32.3,67.3,64.9,49.3,47,31.5,31.8
,,,257,266,178,83,332,283,50,86,142,76,228,16,114,119,284,44
179,Washington 4,P10,112.4,90.8,48.8,46.8,20.1,20.2,41.9,31,44.3,33.3,69.9,68.2,48.4,45.4,33.8,33.4
,,,37,12,179,67,145,190,3,95,20,100,136,122,148,70,174,118
180,Seton Hall,BE,110.6,99.2,48.8,47.7,17.3,21.1,31.6,40.3,33.4,44.3,71.5,66.6,48.6,47.7,32.9,31.9
,,,51,114,180,103,19,135,209,341,245,308,87,48,142,144,226,49
181,Miami OH,MAC,101.9,96.4,48.8,46.9,21.6,21.6,31.2,31.5,34.6,33.6,70.9,66.7,48.3,46.2,33.2,32.2
,,,174,65,181,76,224,115,229,121,211,107,101,52,151,88,207,54
182,Wichita St.,MVC,103.2,99.5,48.8,50.2,22.3,20.8,36,27.4,33.2,40.4,69.5,69.8,48.9,48,32.5,36.2
,,,144,120,182,221,257,157,65,11,254,264,151,227,131,159,239,273
183,Murray St.,OVC,102.1,99.8,48.7,48.4,20.4,21.7,37,31.3,39.7,39.9,70,71.7,49.4,48.5,31.2,32.2
,,,171,127,183,133,163,109,44,111,80,254,131,303,111,187,294,56
184,Central Connecticut,NEC,96.9,109.8,48.7,51.4,22,20.3,34.2,35.6,32.9,27.1,72,67.4,49.1,51.8,31.6,33.8
,,,254,305,184,277,244,183,114,278,265,13,71,83,122,309,275,147
185,Saint Joseph's,A10,104.9,98.5,48.7,47.3,20,19,31.5,33.1,40.2,29.7,73.4,67.5,48.1,45.8,33.4,33.7
,,,118,94,185,90,138,271,212,199,63,31,41,88,162,78,196,139
186,SMU,CUSA,102.1,104.6,48.6,48.8,22.9,18.6,34.8,33.2,31.2,33.8,64.6,74.8,46.4,46.2,35.6,35.8
,,,170,229,186,152,284,291,96,202,296,116,297,344,236,91,99,263
187,UT Rio Grande Valley,ind,92.4,111.6,48.6,54.1,23.1,21.3,28.6,29.7,39.6,39.5,60.9,69.1,50.4,53.3,29.5,37
,,,306,320,187,329,290,133,292,55,84,244,338,186,80,330,327,309
188,Old Dominion,CAA,104.7,97.7,48.6,47.4,19.4,20.7,40.1,29.2,32.5,26.4,63.9,68.2,48.5,47.5,32.6,31.5
,,,125,79,188,93,93,160,8,39,274,11,305,128,145,138,235,37
189,Kent St.,MAC,102.5,98.9,48.5,46.5,19.1,23.9,32.4,34.7,34.5,41.8,65.1,68.2,48,46,33.1,31.6
,,,161,107,189,58,77,22,182,253,214,282,282,127,165,83,214,40
190,Texas 7,B12,112.3,93,48.5,46,18.6,20,39.2,32.7,38.6,36.6,66.8,67.5,48.2,43.5,32.8,34.3
,,,39,26,190,43,59,194,20,170,108,180,242,92,158,30,231,172
191,West Virginia 6,BE,115.2,91.1,48.5,46.6,18.2,23.4,41,31.5,35.9,38.4,69.8,68.2,48,47.1,32.9,30.2
,,,21,13,191,63,42,37,4,118,191,222,141,123,164,122,224,15
192,Kansas St.,B12,109.5,94.7,48.5,47.5,20,24.1,42.3,31.8,42.2,48.8,65.5,70.6,46.6,45.1,35,35.1
,,,65,43,192,97,136,19,2,127,37,333,278,266,227,60,119,230
193,Colorado St.,MWC,107,107.6,48.5,55.3,19.9,20.1,31.6,31.2,38.6,38.8,72,69.3,46.3,55,35.4,37.2
,,,93,273,193,339,125,192,206,108,112,232,72,195,242,338,105,312
194,Indiana St.,MVC,103,104.8,48.5,49.9,21.9,19.4,29.1,34.5,35.1,42.3,73,69.5,45.1,48.1,35.3,35.8
,,,151,231,194,209,238,246,278,244,204,287,50,206,276,168,113,264
195,Middle Tennessee,SB,103.1,103.8,48.5,51.1,18,21.9,35.2,28.8,38.9,44.9,69.7,71,49.6,49.3,30.4,36.7
,,,145,210,195,259,29,96,88,30,102,315,144,281,106,225,313,297
196,Marshall,CUSA,106,104.7,48.5,54.4,19.6,21,33.7,30.1,41.3,44.7,72,72.5,49.5,51.6,31.2,41.2
,,,105,230,196,332,105,143,137,69,46,312,70,321,110,301,295,343
197,Brown,Ivy,94,107.9,48.4,51.5,22.2,16.1,25.9,27.5,37.9,25,65.9,66.9,48.9,48.2,31.7,38.8
,,,290,282,197,279,250,340,332,13,134,5,263,64,132,173,274,336
198,St. Francis PA,NEC,94.1,113,48.4,53.4,24.7,19.8,31.3,33,34.7,38.5,73.2,68.5,48.2,52.5,32.5,36.7
,,,289,334,198,323,325,211,225,187,210,226,46,140,159,326,240,296
199,Bowling Green,MAC,101.5,99.6,48.4,44.8,20.3,19.1,33,31.8,31,35.9,66.6,69.3,46.4,44.7,35,30.1
,,,181,121,199,23,153,260,157,131,300,162,248,199,232,47,123,12
200,Elon,SC,95.2,107.3,48.4,52.5,20.7,19.7,28.2,32.9,33.3,36.8,65.7,69.4,46.6,52.6,34.9,34.9
,,,279,267,200,303,183,220,303,182,252,186,275,204,226,327,126,216
201,Saint Louis,A10,101.1,98.9,48.4,46.8,20.2,18.6,30.1,29.5,38.6,34.2,69.6,72.5,47.2,48.3,34.1,28.6
,,,189,106,201,68,148,289,258,49,109,123,147,323,199,179,160,3
202,Cincinnati,BE,108.5,99.1,48.4,47.2,20.8,19.1,39.4,34.7,30.3,35.3,65.8,69.8,47.7,46.8,33,32.2
,,,70,112,202,84,192,261,16,248,311,149,266,229,179,111,223,55
203,UNC Wilmington,CAA,98.5,112.7,48.3,57.3,19.2,19.5,26.2,33,29.4,32,68.2,69.9,47.1,58.7,33.4,36.5
,,,231,332,203,344,87,234,327,191,325,72,192,234,205,344,195,288
204,UTSA,Slnd,101.5,104.8,48.2,52.6,19,23.5,30.2,32.7,39.1,30.2,71.3,67.3,46.1,54.3,34.2,32.4
,,,180,232,204,307,73,35,254,172,97,39,92,77,246,335,153,63
205,UC Riverside,BW,96.6,101.5,48.2,51.2,21.7,22.4,33.9,28,30.4,33.7,67.8,69.9,44.7,50.3,37.4,34.9
,,,259,156,205,266,230,74,130,20,309,111,207,236,280,265,48,213
206,Akron 13,MAC,102.9,95.6,48.1,45.5,20.7,26.4,34.3,36.2,36.2,45.7,71.4,69.7,46.9,46.2,33.2,29.4
,,,153,53,206,33,185,4,113,297,182,321,89,216,210,90,204,6
207,Delaware St.,MEAC,95.9,113.5,48.1,50.8,24.9,20.3,33.8,39.3,26.8,37.5,65.6,69.8,46.3,49.5,34.3,35.7
,,,269,339,207,249,328,187,133,335,339,200,277,230,240,234,149,257
208,Presbyterian,BSth,91.2,99.6,48.1,49.2,25.5,20.8,29.5,31.7,36,32.4,67.3,63.3,48.7,49.1,31.4,33
,,,316,123,208,169,336,158,267,125,188,79,229,5,137,217,288,103
209,TCU,MWC,101.5,98.2,48,51.7,21.1,21.8,28.3,27.5,38.6,37.7,73.4,71.3,47.9,52.2,32.1,33.9
,,,182,86,209,284,201,103,299,12,111,204,42,291,171,317,256,155
210,Jacksonville St.,OVC,99.2,108.4,48,52.1,20.3,19.7,35.5,32.2,40.6,37.7,65.7,73.1,44.6,51,37.6,36.5
,,,220,291,210,298,154,216,79,145,60,203,274,336,285,286,42,287
211,Indiana,B10,98.8,101.7,47.9,54.6,27,21.4,32.6,32.6,37.4,36.5,65.5,68,46.9,53.2,33.3,38.1
,,,228,160,211,334,342,125,173,169,153,178,279,115,215,329,201,329
212,Georgia Tech,ACC,100.6,92.8,47.9,47.1,22.7,21.9,34.7,32.2,35.6,38,63,67.9,47.7,46.3,32.3,32.4
,,,202,25,212,80,278,99,98,146,195,215,317,112,180,96,248,64
213,Southern Illinois,MVC,100.8,100.3,47.9,49.1,22.9,21.9,30.8,33.2,38.4,49.6,73,72.7,43.8,47.4,37.8,35.1
,,,197,138,213,163,285,101,241,204,120,335,48,326,304,136,38,227
214,San Jose St.,WAC,102.3,104.5,47.9,51,21.8,19.4,36.4,33.1,36.8,30.9,67.6,68.4,48.9,49.8,29.7,35.7
,,,165,226,214,257,237,245,57,195,164,50,214,139,130,242,323,260
215,Morehead St. 16,OVC,101,101.6,47.8,48.4,23.2,18.6,39.5,29.5,42.7,38.9,72.5,67.9,47.4,45.8,32.6,35.4
,,,190,158,215,134,294,292,14,44,30,233,60,106,195,79,237,245
216,Charleston Southern,BSth,96.6,112.1,47.8,52,19.8,16.2,32.4,29.2,26.7,33.5,62.5,68.7,47.7,51.6,32.1,35.2
,,,260,326,216,293,115,338,178,41,340,105,322,158,182,302,260,237
217,Alabama,SEC,106.4,98.4,47.8,46.7,20.8,19.8,38.1,36,38.4,31.7,70.5,67.9,47.2,46.7,33,31.1
,,,100,90,217,66,194,208,27,289,117,65,112,107,200,107,222,30
218,Delaware,CAA,102.6,106.4,47.8,49.3,19.1,19.1,28.6,33,37.9,34.3,70.3,68.6,46.6,48.7,33.2,33.8
,,,157,259,218,173,76,257,291,190,132,126,122,145,225,201,211,146
219,Fairfield,MAAC,102.7,103.5,47.8,48.7,20.3,19.6,33,34.3,36,33.2,65.7,68.2,46.7,49.1,33.3,31.9
,,,155,200,219,145,158,228,155,238,187,98,272,126,220,219,202,48
220,Northern Illinois,MAC,94.6,106.6,47.7,50.4,23.3,22.5,34.4,33.5,40.2,43.2,58.8,70.7,45.9,47.9,34.4,37.2
,,,285,262,220,231,298,68,107,213,64,297,342,272,259,150,144,313
221,Yale,Ivy,94.7,101.9,47.7,49.5,23.6,22.5,31.1,29.4,40.8,38.4,66.3,66.8,48.7,48.9,29.8,33.9
,,,283,166,221,182,303,69,235,43,54,221,253,59,138,210,319,156
222,Norfolk St.,MEAC,96.3,110.4,47.7,49.9,22.2,23.1,34.3,36.5,37.5,43.2,65,66.8,46.9,48.7,33.3,35
,,,266,311,222,210,255,50,112,305,148,298,287,60,211,200,198,223
223,Evansville,MVC,103.3,99.4,47.7,50.2,19.5,22.3,30,30,45.3,35.6,69.3,68,47.5,49.1,32.3,34.7
,,,143,115,223,222,99,79,262,64,14,156,158,113,188,218,247,199
224,San Diego,WCC,97.3,97.6,47.6,47.7,20.8,22.8,28.5,33.7,33.1,39,69.6,71.3,46.5,45.7,33.6,35
,,,247,75,224,104,191,59,294,223,257,236,146,292,230,77,185,222
225,Niagara,MAAC,108.2,97.6,47.6,45.6,18.6,23.4,39,39.4,41.2,32.8,71,64.3,48.3,44.4,30.9,32.4
,,,79,76,225,36,60,38,22,336,47,86,98,10,153,40,307,66
226,Campbell,ASun,95.6,101.7,47.6,50.4,22.8,22.5,35.1,32.5,39.9,40.5,70.5,66,45.9,50.2,34.5,34
,,,271,162,226,232,281,67,91,160,73,265,114,31,254,261,137,158
227,Maine,AE,97.5,110.3,47.5,50,22.5,19.2,31.3,37.1,39.8,31.6,67.3,66.2,46.4,51.6,33.2,31.4
,,,244,310,227,212,268,256,221,316,79,62,230,38,234,303,210,34
228,Valparaiso,Horz,99,103.5,47.5,50.9,23.6,22.3,31.5,34.1,36.1,50.3,61.4,68.8,46.3,48.5,32.9,36.4
,,,223,204,228,252,306,83,219,233,185,338,335,165,241,190,225,284
229,North Carolina A&T,MEAC,90.9,104.4,47.5,48.1,25.7,23.7,34.2,36.6,31,33.8,62.6,64.3,45.7,50.1,33.9,29.9
,,,319,223,229,122,338,28,116,307,301,117,320,11,261,256,166,10
230,Longwood,ind,96.3,113.4,47.5,52.3,19.2,26.1,29.2,39.5,32.1,44.8,67.3,69.7,47.3,54.1,31.9,31.5
,,,265,336,230,301,91,7,275,337,283,314,232,219,197,333,264,38
231,FIU,SB,97,105.1,47.4,50.5,22.6,19.1,32.2,32.5,38.9,36.1,63.9,69.7,44.5,49.2,35.7,35.4
,,,251,241,231,237,274,265,188,164,101,166,306,223,288,223,97,243
232,Lafayette,Pat,94.2,111.2,47.4,52.7,24.1,22.3,29.5,34.2,34.2,37.4,74.9,67.9,47.5,52.4,31.5,35.4
,,,287,316,232,310,316,84,270,237,225,197,22,104,189,322,279,247
233,Navy,Pat,97,102.2,47.4,46.2,19.4,20.4,27.4,29.9,38,38.7,72.4,66.4,46.3,45.6,32.9,31.6
,,,250,174,233,47,94,177,313,62,128,230,61,42,238,73,228,41
234,Stephen F. Austin 14,Slnd,95.2,89.6,47.4,42.8,17.8,21.9,26.4,28.3,29,38.3,66.2,71.2,47.8,43.1,31,27.9
,,,278,7,234,3,28,95,324,25,327,220,254,289,174,25,301,2
235,Central Michigan,MAC,98,104.9,47.3,50,22.3,23.8,34.6,33.5,37.8,57.4,63.1,69.4,45.8,48.5,33.6,35.8
,,,238,234,235,213,262,25,103,212,138,343,315,205,260,191,184,265
236,Howard,MEAC,91.2,110.4,47.2,50.6,23.8,20.3,27,36.7,40.8,34,63.9,65.9,47,49.5,31.8,35.4
,,,315,313,236,241,313,186,321,309,56,121,307,30,207,233,269,246
237,Holy Cross,Pat,98.2,99.7,47.2,47.9,24.3,23.2,39.9,28.1,37.2,48.5,67.8,70.6,47.3,46.5,31.4,33.8
,,,237,125,237,113,318,47,10,21,156,331,205,263,198,100,286,148
238,William & Mary,CAA,95.3,100.8,47.2,48.7,22.3,19.8,31.5,31.2,31.5,31.7,65.6,71,47.8,47.8,31,33.5
,,,277,144,238,146,259,209,214,109,290,67,276,282,175,147,304,126
239,Marist,MAAC,93.1,100.4,47.1,46.1,22.2,18.2,26.1,31.1,33.9,42,63.3,68.9,43,45.2,36,32.3
,,,301,139,239,45,251,308,330,107,231,285,312,172,317,67,90,59
240,Jackson St.,SWAC,97.2,105,47.1,49.8,22.3,22,36.1,32.5,42.9,40.1,70.4,66.5,49.7,48.9,26.8,34.5
,,,248,236,240,203,261,93,63,159,27,260,120,47,98,209,342,187
241,Montana St.,BSky,100.1,106.8,47.1,52,20.4,17.9,33.9,29.4,39.9,36.1,66.9,70.6,46.5,51.2,32.1,35.7
,,,210,264,241,294,161,319,131,42,75,165,241,265,231,290,259,259
242,New Orleans,SB,91.6,102.5,47.1,50.1,22.7,21.9,29.3,33.2,40.8,34.4,66,68.7,48,49.2,29.4,34.7
,,,313,182,242,217,279,100,272,205,55,129,260,155,168,220,329,201
243,Penn,Ivy,95.7,104.6,47.1,49.8,20.8,21.3,28.8,32,38.9,39.9,68.2,68.3,47.1,47.3,31.4,36.9
,,,270,228,243,204,190,130,284,138,100,256,191,131,206,130,287,305
244,Quinnipiac,NEC,96.4,107.4,47.1,49.5,21.8,20.5,40.9,31,36.9,36.8,62.1,70.1,46.9,46.8,31.7,37.2
,,,263,271,244,183,235,172,5,96,163,184,327,240,214,112,272,314
245,Maryland 10,ACC,110.4,96.2,47,48.1,17.6,22.3,35.1,36.9,28,30.2,75.8,68.9,45.9,46,33.3,34.7
,,,54,61,245,123,25,76,89,311,334,42,11,166,255,84,199,198
246,Hartford,AE,90.5,106.2,47,52.6,21.1,21.7,24.1,33,28.2,45.2,70.9,69,47.4,51,31,36.6
,,,323,256,246,308,205,110,337,192,333,318,102,178,196,284,302,293
247,Eastern Washington,BSky,96.9,104.3,47,51.6,19.5,19.1,30.1,28.8,30.4,43.6,68.6,72,46,51.2,32.8,34.9
,,,253,222,247,281,98,259,260,32,310,303,183,314,251,291,233,217
