RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,North Carolina St.,3.3,3.3,4,1,0.8,1,1,1,1,1,0,0,0,1.30%,0.10%
2,Alabama,2.3,2.4,4,1,0.8,1,1,1,1,1,0,0,0,10.50%,1.00%
3,Connecticut,2.2,2.7,6,0,1,1,1,1,1,1,1,1,1,52.70%,27.60%
4,Clemson,2,1.9,3,1,0.75,1,1,1,1,0,0,0,0,5.00%,0.40%
5,Purdue,1.8,1.7,5,1,0.833,1,1,1,1,1,1,0,1,41.50%,11.70%
6,Illinois,1.1,1.2,3,1,0.75,1,1,1,1,0,0,0,0,7.70%,1.30%
7,Duke,1,1.4,3,1,0.75,1,1,1,1,0,0,0,0,13.70%,2.50%
8,San Diego St.,0.9,0.8,2,1,0.667,1,1,1,0,0,0,0,0,1.70%,0.10%
9,Yale,0.8,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
10,Oakland,0.8,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.00%,0.00%
11,Duquesne,0.6,0.3,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
12,James Madison,0.6,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
13,Grand Canyon,0.6,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
14,Tennessee,0.6,0.7,3,1,0.75,1,1,1,1,0,0,0,1,20.90%,3.90%
15,Colorado,0.5,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.80%,0.10%
16,Utah St.,0.5,0.3,1,1,0.5,1,1,0,0,0,0,0,0,0.50%,0.00%
17,Texas A&M,0.4,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.10%,0.10%
18,Dayton,0.4,0.1,1,1,0.5,1,1,0,0,0,0,0,0,1.40%,0.00%
19,Northwestern,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0.70%,0.10%
20,Oregon,0.3,0.3,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.00%
21,Gonzaga,0.3,0.8,2,1,0.667,1,1,1,0,0,0,0,0,10.00%,1.40%
22,Washington St.,0.2,0.1,1,1,0.5,1,1,0,0,0,0,0,0,1.00%,0.10%
23,Michigan St.,0,0.4,1,1,0.5,1,1,0,0,0,0,0,0,5.00%,0.40%
24,Grambling St.,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
25,Wagner,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
26,Stetson,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
27,Longwood,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
28,Marquette,0,-0.3,2,1,0.667,1,1,1,0,0,0,0,1,12.50%,1.90%
29,Texas,0,0.1,1,1,0.5,1,1,0,0,0,0,0,0,3.80%,0.30%
30,Saint Peter's,0,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
31,Long Beach St.,0,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
32,South Dakota St.,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
33,Colgate,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
34,Creighton,-0.1,0.2,2,1,0.667,1,1,1,0,0,0,0,0,14.30%,2.10%
35,Akron,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
36,Western Kentucky,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
37,Morehead St.,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
38,Vermont,-0.1,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
39,College of Charleston,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
40,UAB,-0.2,-0.5,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
41,McNeese St.,-0.2,-0.5,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
42,Kansas,-0.3,-0.6,1,1,0.5,1,1,0,0,0,0,0,0,4.50%,0.40%
43,Samford,-0.3,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
44,North Carolina,-0.3,-1.3,2,1,0.667,1,1,1,0,0,0,0,1,21.30%,3.00%
45,Colorado St.,-0.3,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.70%,0.00%
46,Florida Atlantic,-0.5,-0.7,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
47,Iowa St.,-0.5,-0.3,2,1,0.667,1,1,1,0,0,0,0,1,18.30%,5.10%
48,Drake,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.50%,0.00%
49,Mississippi St.,-0.6,-0.7,0,1,0,1,0,0,0,0,0,0,0,2.00%,0.10%
50,Baylor,-0.7,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,8.90%,0.60%
51,Arizona,-0.7,-0.3,2,1,0.667,1,1,1,0,0,0,0,1,31.60%,5.80%
52,Nebraska,-0.7,-0.7,0,1,0,1,0,0,0,0,0,0,0,1.90%,0.20%
53,TCU,-0.7,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.30%,0.00%
54,South Carolina,-0.7,-1.1,0,1,0,1,0,0,0,0,0,0,0,1.10%,0.00%
55,Nevada,-0.8,-0.6,0,1,0,1,0,0,0,0,0,0,0,2.20%,0.10%
56,New Mexico,-0.8,-0.7,0,1,0,1,0,0,0,0,0,0,0,2.90%,0.20%
57,Florida,-1,-0.9,0,1,0,1,0,0,0,0,0,0,0,3.50%,0.30%
58,Texas Tech,-1,-1.1,0,1,0,1,0,0,0,0,0,0,0,2.40%,0.10%
59,Wisconsin,-1.1,-1.2,0,1,0,1,0,0,0,0,0,0,0,2.80%,0.20%
60,BYU,-1.2,-1.1,0,1,0,1,0,0,0,0,0,0,0,2.50%,0.30%
61,Saint Mary's,-1.4,-1.2,0,1,0,1,0,0,0,0,0,0,0,8.60%,0.70%
62,Kentucky,-1.6,-1.8,0,1,0,1,0,0,0,0,0,0,0,5.00%,0.40%
63,Houston,-1.6,-1.3,2,1,0.667,1,1,1,0,0,0,0,1,53.30%,22.90%
64,Auburn,-2.1,-1.6,0,1,0,1,0,0,0,0,0,0,0,14.40%,4.20%
