RK,TEAM,BARTHAG
1,Gonzaga,0.972
,"   1 seed, Finals",1
2,Villanova,0.9608
,"   1 seed, R32",2
3,Virginia,0.9591
,"   5 seed, R32",3
4,Kentucky,0.9548
,"   2 seed, Elite Eight",4
5,North Carolina,0.9531
,"   1 seed, CHAMPS",5
6,West Virginia,0.9528
,"   4 seed, Sweet Sixteen",6
7,Florida,0.9516
,"   4 seed, Elite Eight",7
8,Louisville,0.9515
,"   2 seed, R32",8
9,Kansas,0.9425
,"   1 seed, Elite Eight",9
10,Duke,0.9421
,"   2 seed, R32",10
11,Wichita St.,0.934
,"   10 seed, R32",11
12,Purdue,0.9334
,"   4 seed, Sweet Sixteen",12
13,SMU,0.9331
,"   6 seed, R64",13
14,Cincinnati,0.9327
,"   6 seed, R32",14
15,Saint Mary's,0.9317
,"   7 seed, R32",15
16,Baylor,0.931
,"   3 seed, Sweet Sixteen",16
17,Notre Dame,0.9233
,"   5 seed, R32",17
18,Oregon,0.9228
,"   3 seed, Final Four",18
19,Wisconsin,0.918
,"   8 seed, Sweet Sixteen",19
20,Oklahoma St.,0.9175
,"   10 seed, R64",20
21,Michigan,0.9166
,"   7 seed, Sweet Sixteen",21
22,Florida St.,0.9154
,"   3 seed, R32",22
23,Iowa St.,0.9151
,"   5 seed, R32",23
24,Arizona,0.9148
,"   2 seed, Sweet Sixteen",24
25,UCLA,0.913
,"   3 seed, Sweet Sixteen",25
26,Creighton,0.9064
,"   6 seed, R64",26
27,Butler,0.9014
,"   4 seed, Sweet Sixteen",27
28,Miami FL,0.8904
,"   8 seed, R64",28
29,Kansas St.,0.8863
,"   11 seed, R64",29
30,Marquette,0.8853
,"   10 seed, R64",30
31,Wake Forest,0.8837
,"   11 seed, R68",31
32,Vanderbilt,0.8823
,"   9 seed, R64",32
33,South Carolina,0.8822
,"   7 seed, Final Four",33
34,Northwestern,0.8758
,"   8 seed, R32",34
35,Minnesota,0.8721
,"   5 seed, R64",35
36,Xavier,0.8658
,"   11 seed, Elite Eight",36
40,Maryland,0.8478
,"   6 seed, R64",40
42,Michigan St.,0.8461
,"   9 seed, R32",42
44,Virginia Tech,0.8311
,"   9 seed, R64",44
47,Middle Tennessee,0.8267
,"   12 seed, R32",47
48,Rhode Island,0.826
,"   11 seed, R32",48
49,Dayton,0.8252
,"   7 seed, R64",49
53,Arkansas,0.8132
,"   8 seed, R32",53
54,Providence,0.8125
,"   11 seed, R68",54
55,Seton Hall,0.8082
,"   9 seed, R64",55
58,VCU,0.8035
,"   10 seed, R64",58
61,Princeton,0.7855
,"   12 seed, R64",61
62,UNC Wilmington,0.7854
,"   12 seed, R64",62
63,Nevada,0.7853
,"   12 seed, R64",63
66,USC,0.7801
,"   11 seed, R32",66
68,Vermont,0.7746
,"   13 seed, R64",68
72,East Tennessee St.,0.7592
,"   13 seed, R64",72
83,Bucknell,0.7089
,"   13 seed, R64",83
89,New Mexico St.,0.6823
,"   14 seed, R64",89
114,Florida Gulf Coast,0.6217
,"   14 seed, R64",114
121,Winthrop,0.6012
,"   13 seed, R64",121
126,Iona,0.5897
,"   14 seed, R64",126
147,Northern Kentucky,0.536
,"   15 seed, R64",147
149,Troy,0.5341
,"   15 seed, R64",149
152,North Carolina Central,0.5286
,"   16 seed, R68",152
153,Kent St.,0.5271
,"   14 seed, R64",153
165,North Dakota,0.4866
,"   15 seed, R64",165
176,Jacksonville St.,0.4763
,"   15 seed, R64",176
193,New Orleans,0.442
,"   16 seed, R68",193
199,South Dakota St.,0.4207
,"   16 seed, R64",199
201,Mount St. Mary's,0.4064
,"   16 seed, R64",201
203,UC Davis,0.402
,"   16 seed, R64",203
221,Texas Southern,0.3663
,"   16 seed, R64",221
