RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,North Carolina,2.8,2.7,6,0,1,1,1,1,1,1,1,1,1,42.30%,17.80%
2,Michigan St.,2.7,2.7,5,1,0.833,1,1,1,1,1,1,0,1,22.70%,5.70%
3,Villanova,2,2.2,4,1,0.8,1,1,1,1,1,0,0,0,16.80%,3.70%
4,Arizona,1.2,1.5,2,1,0.667,1,1,1,0,0,0,0,0,2.90%,0.20%
5,Connecticut,1.2,0.7,4,1,0.8,1,1,1,1,1,0,0,1,28.70%,10.40%
6,Missouri,1,1.2,3,1,0.75,1,1,1,1,0,0,0,0,12.90%,3.40%
7,Oklahoma,0.8,0.7,3,1,0.75,1,1,1,1,0,0,0,1,15.60%,3.80%
8,Dayton,0.7,0.3,1,1,0.5,1,1,0,0,0,0,0,0,0.40%,0.00%
9,Western Kentucky,0.7,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
10,Siena,0.5,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.00%
11,Purdue,0.5,0.8,2,1,0.667,1,1,1,0,0,0,0,0,7.40%,1.40%
12,Maryland,0.4,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.10%
13,Michigan,0.4,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.10%,0.10%
14,LSU,0.4,0.3,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.10%
15,Cleveland St.,0.4,0.8,1,1,0.5,1,1,0,0,0,0,0,0,1.20%,0.10%
16,Texas A&M,0.4,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.10%
17,Louisville,0.3,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,29.50%,7.20%
18,Pittsburgh,0.3,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,32.10%,9.70%
19,Syracuse,0.3,0.2,2,1,0.667,1,1,1,0,0,0,0,0,10.50%,2.20%
20,Xavier,0.3,0.4,2,1,0.667,1,1,1,0,0,0,0,0,8.80%,1.00%
21,Kansas,0.3,0.2,2,1,0.667,1,1,1,0,0,0,0,0,13.60%,2.60%
22,Gonzaga,0.2,0.4,2,1,0.667,1,1,1,0,0,0,0,0,11.10%,2.30%
23,Wisconsin,0.1,0.5,1,1,0.5,1,1,0,0,0,0,0,0,3.40%,0.30%
24,Oklahoma St.,0.1,0.3,1,1,0.5,1,1,0,0,0,0,0,0,3.40%,0.30%
25,Chattanooga,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
26,Duke,0,-0.3,2,1,0.667,1,1,1,0,0,0,0,1,14.00%,2.60%
27,Radford,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
28,Morehead St.,-0.1,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
29,Cornell,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
30,Texas,-0.1,0.1,1,1,0.5,1,1,0,0,0,0,0,0,4.90%,0.60%
31,Binghamton,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
32,Morgan St.,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
33,East Tennessee St.,-0.1,0,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
34,American,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
35,Cal St. Northridge,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
36,Robert Morris,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
37,USC,-0.2,0.4,1,1,0.5,1,1,0,0,0,0,0,0,5.00%,0.50%
38,Portland St.,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
39,Akron,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
40,Stephen F. Austin,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
41,Marquette,-0.2,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,4.00%,0.60%
42,Northern Iowa,-0.3,-0.5,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
43,Mississippi St.,-0.3,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
44,North Dakota St.,-0.3,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
45,Utah St.,-0.4,-0.7,0,1,0,1,0,0,0,0,0,0,0,0.50%,0.00%
46,Boston College,-0.4,-0.9,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
47,Arizona St.,-0.4,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,7.60%,1.40%
48,UCLA,-0.4,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,9.90%,1.80%
49,Temple,-0.5,-0.7,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.00%
50,VCU,-0.5,-0.7,0,1,0,1,0,0,0,0,0,0,0,1.00%,0.10%
51,Washington,-0.5,-0.6,1,1,0.5,1,1,0,0,0,0,0,0,7.70%,1.50%
52,Minnesota,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.50%,0.10%
53,Tennessee,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.60%,0.20%
