RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,North Carolina,15,13.3,55,16,0.775,19,18,12,10,7,5,3,11,99.10%,70.00%
2,Connecticut,12.7,14,39,11,0.78,15,11,8,7,5,4,4,5,91.50%,47.70%
3,Michigan St.,12.4,15.4,49,21,0.7,22,17,13,9,7,2,1,6,97.90%,60.10%
4,UCLA,10.5,11.5,35,16,0.686,16,14,12,4,4,1,0,4,88.20%,38.40%
5,Butler,9.2,10.9,22,13,0.629,13,11,5,2,2,2,0,0,43.70%,6.70%
6,Syracuse,9,7.3,32,15,0.681,16,13,10,4,3,1,1,2,80.90%,27.70%
7,Florida,8.8,11.6,39,15,0.722,17,14,8,8,4,3,2,4,95.60%,58.30%
8,Michigan,7,7.6,24,11,0.686,11,9,7,4,2,2,0,3,75.90%,26.50%
9,Oregon,6.9,6.9,22,12,0.647,12,10,7,4,1,0,0,2,57.20%,11.50%
10,Kentucky,6.5,7.1,46,19,0.708,20,18,12,9,4,2,1,10,99.10%,72.40%
11,Kansas,6.4,0,58,21,0.734,23,21,14,11,6,4,2,15,99.80%,81.90%
12,Villanova,5,4,34,14,0.708,16,13,8,5,4,2,2,8,95.20%,59.20%
13,Miami FL,4.5,3.2,14,9,0.609,9,6,5,2,1,0,0,1,33.30%,5.10%
14,Xavier,4.3,3.7,24,16,0.6,16,13,8,3,0,0,0,2,62.20%,11.60%
15,Wisconsin,3.5,7.3,35,21,0.625,21,17,10,4,3,1,0,3,90.50%,39.10%
16,Maryland,3.4,3.5,23,13,0.639,14,13,4,2,2,1,1,1,78.40%,26.80%
17,Loyola Chicago,3.4,4,6,3,0.667,3,2,2,1,1,0,0,0,9.50%,1.20%
18,Gonzaga,3.2,3.3,41,23,0.641,23,20,12,5,2,2,0,7,98.20%,70.20%
19,Florida Atlantic,3.2,3.3,4,2,0.667,2,1,1,1,1,0,0,0,3.10%,0.40%
20,Saint Peter's,2.6,2.7,3,2,0.6,2,1,1,1,0,0,0,0,0.20%,0.00%
21,George Mason,2.5,3,5,4,0.556,4,2,1,1,1,0,0,0,9.10%,1.20%
22,Ohio,2.5,3.1,4,4,0.5,4,3,1,0,0,0,0,0,2.10%,0.10%
23,South Carolina,2.3,2.5,4,2,0.667,2,1,1,1,1,0,0,0,5.30%,0.60%
24,Auburn,2.2,2.8,10,6,0.625,6,6,2,1,1,0,0,1,37.20%,6.50%
25,Tulsa,1.9,3.1,5,4,0.556,4,3,1,1,0,0,0,0,13.20%,3.20%
26,Oregon St.,1.9,1.6,3,2,0.6,2,1,1,1,0,0,0,0,2.30%,0.10%
27,UAB,1.7,1.5,4,5,0.444,5,3,1,0,0,0,0,0,3.80%,0.20%
28,West Virginia,1.6,2.8,19,13,0.594,13,9,7,2,1,0,0,1,68.80%,19.10%
29,La Salle,1.5,1.8,2,1,0.667,1,1,1,0,0,0,0,0,0.80%,0.00%
30,Florida Gulf Coast,1.5,1.7,2,3,0.4,3,1,1,0,0,0,0,0,0.20%,0.00%
31,Kansas St.,1.4,0.3,12,10,0.545,10,6,3,3,0,0,0,1,42.70%,8.10%
