RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
786,Jr,Luke Goode,Illinois,B10,49.4,2.1,4.1,126.8,12.4,57.6,58.0,5.9,13.2,4.4,10.2,0.6,0.7,12.3,0.455,0.396
795,So,Kylan Boswell,Arizona,P12,66.8,2.1,4.7,108.3,18.6,50.5,52.4,1.3,7.9,21.1,18.7,0.4,2.7,12.6,0.418,0.385
801,Sr,Kadin Shedrick,Texas,B12,40.4,2.1,6.5,117.4,20.4,60.2,63.6,7.6,12.8,5.9,15.7,6.7,2.7,57.2,0.604,0.375
802,So,Chendall Weaver,Texas,B12,45.9,2.1,4.2,121.7,16.3,52.0,57.1,8.5,10.5,6.2,8.0,2.2,1.8,51.7,0.577,0.237
822,Jr,Kintavious Dozier,Grambling St.,SWAC,65.5,2.1,1.5,104.8,25.6,49.2,54.7,3.2,10.1,9.4,14.6,0.9,2.3,39.1,0.493,0.327
824,Sr,Hassan Diarra,Connecticut,BE,48.1,2.1,6.2,119.6,17.5,53.9,58.2,5.3,11.9,20.0,18.9,1.8,2.7,38.1,0.553,0.344
829,Sr,Jameer Nelson Jr.,TCU,B12,61.3,2.1,5.2,102.8,24.4,49.0,53.7,0.9,11.4,24.2,21.4,2.0,4.7,41.1,0.508,0.306
833,Jr,Dajuan Harris Jr.,Kansas,B12,89.0,2.1,2.8,103.3,16.9,47.6,51.2,1.2,4.7,29.4,21.9,1.1,2.4,22.5,0.438,0.38
835,Sr,Tre King,Iowa St.,B12,58.1,2.0,3.7,109.4,19.6,53.5,57.3,9.1,18.3,6.1,17.2,1.4,2.8,29.3,0.563,0.277
839,Sr,Javian Davis,UAB,Amer,65.8,2.0,0.2,113.0,17.4,55.2,60.3,11.1,12.8,7.5,20.5,1.6,1.8,71.3,0.552,0.0
840,Jr,Drew Thelwell,Morehead St.,OVC,85.1,2.0,0.0,109.2,19.3,51.2,53.3,0.9,8.3,28.8,20.7,0.6,2.3,27.3,0.516,0.338
849,Fr,Kwame Evans Jr,Oregon,P12,55.7,2.0,4.7,114.0,17.2,49.5,54.8,7.3,18.7,8.7,12.2,5.0,3.2,38.6,0.551,0.267
856,Sr,Nick Pringle,Alabama,SEC,40.3,2.0,2.6,119.7,17.5,64.8,62.7,12.6,17.4,4.7,16.1,3.7,1.0,74.4,0.648,0.0
863,Jr,Luke Barrett,Saint Mary's,WCC,42.5,2.0,4.3,128.3,15.7,55.6,58.9,11.5,12.2,6.3,10.7,1.1,1.7,32.1,0.657,0.297
872,So,Nick Boyd,Florida Atlantic,Amer,46.3,2.0,2.0,113.0,18.6,50.5,55.0,1.1,11.2,12.6,13.9,0.2,2.1,28.5,0.494,0.341
885,Jr,Shamir Bogues,Vermont,AE,58.3,2.0,5.0,103.8,24.0,51.7,53.1,5.7,16.1,19.1,14.8,1.9,4.0,25.2,0.548,0.231
886,Jr,David Joplin,Marquette,BE,68.5,2.0,2.9,104.1,19.3,52.9,54.8,3.1,13.6,3.8,12.7,3.9,1.7,19.9,0.496,0.367
890,Sr,Brock Cunningham,Texas,B12,54.8,2.0,5.2,120.5,12.8,52.5,56.6,8.7,11.4,15.4,18.4,1.8,2.7,23.3,0.477,0.368
901,Fr,KJ Lewis,Arizona,P12,45.3,1.9,6.7,120.0,16.3,51.3,56.8,5.7,12.2,16.0,15.0,1.9,3.1,45.2,0.522,0.325
902,Sr,Josiah-Jordan James,Tennessee,SEC,72.1,1.9,5.9,111.3,15.3,46.9,51.5,6.1,18.0,11.3,13.7,2.4,2.7,28.0,0.458,0.319
912,Sr,Walyn Napper,Longwood,BSth,83.7,1.9,0.8,99.8,26.4,46.0,48.6,3.9,10.7,28.5,19.3,1.0,2.8,30.7,0.479,0.264
913,Sr,Tre Coleman,Nevada,MWC,76.2,1.9,5.5,110.9,15.9,53.8,56.3,3.7,10.7,17.1,17.0,2.5,2.6,26.0,0.517,0.374
