RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
1,Sr,Denzel Valentine,Michigan St.,B10,72.5,6.7,14.6,125.5,28.9,57.9,60.8,3,21.1,45.8,17.1,0.7,1.9,21.4,0.481,0.444
2,Sr,Buddy Hield,Oklahoma,B12,87.6,6.7,11.8,121.5,28.4,62.3,66.5,4,13,12.7,17.1,1.4,1.8,33.3,0.552,0.457
3,So,Grayson Allen,Duke,ACC,90.8,6.6,8.8,124.9,25.9,55.4,61.6,2.1,11.6,19.4,12.3,0.3,2.1,49.1,0.502,0.417
4,Jr,Kahlil Felder,Oakland,Horz,91.5,6.6,8.4,120,32.9,50.2,57.2,2.2,9.7,50,15.2,0.5,2.9,46.1,0.485,0.355
5,So,Tyler Ulis,Kentucky,SEC,88.5,6.5,9.6,125.7,24.1,49.7,56.7,1.7,7.1,34.3,13,0.3,2.3,44.1,0.486,0.344
6,Jr,Anthony Barber,North Carolina St.,ACC,96.1,6.2,5.1,116,29.3,47.1,55.3,1.7,11.1,25.2,13.2,0.2,1,47.9,0.453,0.361
7,Sr,Malcolm Brogdon,Virginia,ACC,85.1,5.8,10.2,120,26.8,53.2,58.5,2.1,13.3,19.5,10,0.9,1.8,31,0.498,0.391
8,Sr,Yogi Ferrell,Indiana,B10,86.5,5.8,6.6,124.9,24.7,55,60,3.5,9.3,28.4,16.9,0.1,1.8,38.3,0.487,0.42
9,Sr,Josh Adams,Wyoming,MWC,88.2,5.7,7.3,108.6,36.5,53.2,60,2.1,15.3,32.6,17.2,1.8,2.4,52.5,0.498,0.376
10,Sr,Georges Niang,Iowa St.,B12,82.1,5.6,7.9,116.9,28,60,62.5,4.8,15.6,19.2,15.8,1.8,1.5,23,0.605,0.392
11,Sr,Stefan Moody,Mississippi,SEC,83.1,5.6,8,111.4,33.2,51,58,3,7.1,29.3,18.9,0.3,2.5,50.3,0.443,0.379
12,Sr,Thomas Walkup,Stephen F. Austin,Slnd,75.3,5.5,14.2,134,27.2,59.9,65.7,9.2,18.7,31.1,12,1.9,4.1,56.7,0.628,0.243
13,Sr,Isaiah Miles,Saint Joseph's,A10,85.7,5.5,7.6,128.6,20.8,60,65,7.6,17.7,5.1,9.3,3.2,1,37.6,0.615,0.385
14,Jr,Monte Morris,Iowa St.,B12,94.1,5.5,6.4,122.1,19.9,53.6,56.1,2.4,8.9,28.9,12.1,0.7,2.6,24.9,0.536,0.358
15,So,Jakob Poeltl,Utah,P12,75.4,5.4,9.7,124,26,64,66.2,11.9,22,13.9,14.9,4.8,1.2,66.6,0.64,0
16,Sr,Kevin Punter Jr.,Tennessee,SEC,65.1,5.4,7.2,115.9,28.6,53.5,60,0.6,9.9,22.6,14.7,0.7,2.3,52.5,0.522,0.369
17,Fr,Jamal Murray,Kentucky,SEC,87.1,5.4,8.9,118,25.4,55.9,59,4.9,11.1,12.1,15.3,0.9,1.6,28.3,0.502,0.408
18,Sr,Sheldon McClellan,Miami FL,ACC,81.9,5.4,8,126.7,21.2,58.4,64.5,2.1,9.2,9.9,10.9,0.8,1.9,54.4,0.568,0.406
19,Jr,Dallas Moore,North Florida,ASun,90.8,5.4,2.6,122.8,26.4,57.3,59.5,2,9.8,32.5,11.8,0.3,1.4,26.6,0.574,0.381
20,So,Jaylen Adams,St. Bonaventure,A10,90,5.3,6.2,122.2,22.8,57,63.9,2.3,8.5,25.8,18.4,0.9,2.1,51.9,0.455,0.438
21,Sr,Andrew Andrews,Washington,P12,83,5.3,8,117.4,27.2,47.7,58.1,4.3,12.7,26.7,15.5,0.1,2.1,69.8,0.388,0.401
22,Jr,Jack Gibbs,Davidson,A10,83.4,5.2,5.5,108,33.9,50.5,55.6,2.6,9.8,30.6,15.1,0.2,2.8,33.2,0.505,0.336
23,Sr,Kyle Wiltjer,Gonzaga,WCC,84.1,5.2,8.4,120.3,26.3,58,61.8,5.8,14,9.3,13.6,2.3,0.6,28.1,0.529,0.438
24,Sr,Jameel Warney,Stony Brook,AE,84,5.1,10.8,127.9,25.2,62.9,63.2,14.8,21.3,10.3,9.4,9.8,1.6,41.5,0.629,0
25,Jr,Jaron Blossomgame,Clemson,ACC,84.8,5.1,8.7,118.9,25.8,57,61.3,6.1,16.6,10.7,12.6,4.2,1.4,43.4,0.536,0.446
26,Sr,Brice Johnson,North Carolina,ACC,70.1,5.1,11.8,126.8,24.5,61.4,64.9,11.7,28.5,9.7,14.5,5.5,2.2,42.3,0.614,0
27,So,Emmett Naar,Saint Mary's,WCC,93.5,5,5.8,121.6,22.3,55,59.9,2.2,9.4,31.1,17.9,0.4,2.2,32,0.523,0.398
28,Sr,Marcus Georges-Hunt,Georgia Tech,ACC,80.8,5,7.1,119.2,25.2,50.5,58.9,3.2,8.8,19.8,15.2,1.4,1.6,63.5,0.502,0.342
29,Jr,Obi Emegano,Oral Roberts,Sum,84.4,5,4.6,113.5,29.7,48.2,56.3,3.2,12.7,10.8,10,0.8,1.8,50,0.451,0.38
30,Sr,John Brown,High Point,BSth,65.5,5,9.6,123.9,29.8,58.5,61.7,14.1,15.9,17.9,11.3,6.2,3.2,49.5,0.582,1
31,Sr,David Walker,Northeastern,CAA,94.5,5,7.1,121.8,22.2,57.7,63,1.9,10.3,23.8,13.5,1,2.2,39.7,0.506,0.417
32,Sr,A.J. English,Iona,MAAC,75.8,5,7.1,114.3,30.4,54,59.8,1.7,13.2,34.3,18.2,1.4,2.4,43.1,0.519,0.37
33,Jr,J.J. Frazier,Georgia,SEC,79.6,5,8.8,119.8,25.3,50.2,56.9,1.8,13.1,32.4,11.6,0.3,2.6,46.8,0.433,0.386
34,Fr,Ben Simmons,LSU,SEC,86.5,5,9.8,112.9,28.2,56.1,60,9.6,26.8,27.4,18.6,2.5,3.1,76.9,0.561,0.333
35,Jr,Alec Peters,Valparaiso,Horz,82,4.9,9.4,127.1,22.9,60.2,64.7,8.7,19.5,8.3,13.6,1,1.3,38,0.552,0.438
36,Sr,Nic Moore,SMU,Amer,83.1,4.9,5.9,119.2,23.6,52.5,56.3,1.1,6.7,27.1,16.9,0.4,2.4,28.8,0.428,0.413
37,Jr,Demetrius Jackson,Notre Dame,ACC,87.1,4.9,5.1,115.9,24.4,51.4,56,3.1,7.9,25.1,15.3,0.8,2.1,32.5,0.525,0.331
38,So,Ben Bentil,Providence,BE,84.7,4.8,7.4,112.2,28.1,51,56.7,8.4,16.7,8,11.4,3.1,1.4,46.5,0.517,0.329
39,So,Domantas Sabonis,Gonzaga,WCC,79.9,4.8,7.6,120,26,61.2,65.1,11.6,28.2,11.4,18.5,2.7,1.1,51.3,0.615,0.357
