RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Duke,-1.3,-3.7,40,13,0.755,16,13,12,5,4,3,3,13,99.80%,84.60%
2,Kansas,3.1,0.9,39,15,0.722,16,14,10,7,4,3,1,10,98.70%,71.80%
3,Kentucky,7.8,7.8,36,13,0.735,14,13,9,7,4,2,1,7,97.50%,66.30%
4,North Carolina,8.9,7.9,36,11,0.766,13,13,8,7,4,2,2,7,95.60%,56.00%
5,Florida,7.6,9.7,33,11,0.75,13,10,7,7,4,3,2,4,94.30%,55.90%
6,Michigan St.,13,15.3,40,15,0.727,16,12,11,8,6,2,1,4,95.00%,52.60%
7,Ohio St.,-3.1,-2.8,20,12,0.625,12,9,5,3,2,1,0,6,91.10%,51.70%
8,Louisville,3.2,6.1,27,12,0.692,13,9,7,6,3,1,1,2,92.40%,50.60%
9,Arizona,4.6,4.4,28,14,0.667,14,11,9,6,1,1,0,5,92.00%,46.80%
10,Illinois,-2,-0.1,17,11,0.607,11,9,4,2,1,1,0,2,85.90%,43.60%
11,Pittsburgh,-6,-5,16,12,0.571,12,10,5,1,0,0,0,3,87.80%,42.60%
12,Memphis,1,-0.1,16,10,0.615,10,7,4,3,1,1,0,4,80.90%,38.40%
13,Connecticut,11.7,11.2,32,8,0.8,11,9,7,6,4,3,3,5,85.80%,37.90%
14,Wisconsin,3,6.5,29,16,0.644,16,13,8,4,3,1,0,3,88.00%,37.20%
15,Stanford,-3.4,-5,11,9,0.55,9,7,3,1,0,0,0,3,78.60%,33.00%
16,Syracuse,4.1,1.9,24,11,0.686,12,10,7,3,2,1,1,2,79.20%,27.10%
17,UCLA,8.2,7.9,25,12,0.676,12,10,8,3,3,1,0,3,76.80%,27.10%
18,Maryland,2.9,3.2,18,8,0.692,9,9,3,2,2,1,1,1,75.30%,26.00%
19,Texas,-2.3,-1.7,19,15,0.559,15,10,5,3,1,0,0,3,78.50%,25.20%
20,Cincinnati,-4,-4.6,10,11,0.476,11,8,2,0,0,0,0,2,66.80%,24.60%
21,Villanova,-1.1,-2.6,14,10,0.583,10,7,4,2,1,0,0,4,70.80%,22.70%
22,Oklahoma,-2.3,-3.9,15,11,0.577,11,7,4,3,1,0,0,3,71.50%,19.00%
23,Georgetown,-2.7,-3.8,11,9,0.55,9,6,3,1,1,0,0,3,62.80%,19.00%
24,Gonzaga,-0.2,-1.5,19,16,0.543,16,13,5,1,0,0,0,3,71.80%,18.50%
25,Virginia,-4.8,-4.9,4,5,0.444,5,3,1,0,0,0,0,2,60.30%,18.20%
26,Oklahoma St.,-1.7,-2.1,11,11,0.5,11,5,3,2,1,0,0,2,53.80%,16.10%
