RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,North Carolina,3,2.7,6,0,1,1,1,1,1,1,1,1,1,33.30%,10.30%
2,South Carolina,2.9,3.1,4,1,0.8,1,1,1,1,1,0,0,0,4.50%,0.60%
3,Xavier,2,2.3,3,1,0.75,1,1,1,1,0,0,0,0,2.30%,0.20%
4,Oregon,1.9,2.2,4,1,0.8,1,1,1,1,1,0,0,0,16.20%,3.60%
5,Gonzaga,1.8,1.7,5,1,0.833,1,1,1,1,1,1,0,1,42.40%,18.10%
6,Michigan,1,1.1,2,1,0.667,1,1,1,0,0,0,0,0,5.90%,1.10%
7,Florida,1,1.4,3,1,0.75,1,1,1,1,0,0,0,0,16.40%,4.80%
8,Wisconsin,0.8,1.3,2,1,0.667,1,1,1,0,0,0,0,0,6.20%,1.10%
9,Kentucky,0.7,0.7,3,1,0.75,1,1,1,1,0,0,0,1,21.80%,6.30%
10,USC,0.6,0.3,1,1,0.5,1,1,0,0,0,0,0,0,0.50%,0.00%
11,Purdue,0.5,0.4,2,1,0.667,1,1,1,0,0,0,0,0,9.50%,1.60%
12,Northwestern,0.4,0.3,1,1,0.5,1,1,0,0,0,0,0,0,1.20%,0.10%
13,Rhode Island,0.3,0.3,1,1,0.5,1,1,0,0,0,0,0,0,1.50%,0.10%
14,Michigan St.,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.30%,0.10%
15,Butler,0.3,0.4,2,1,0.667,1,1,1,0,0,0,0,0,8.30%,1.20%
16,Baylor,0.3,0.2,2,1,0.667,1,1,1,0,0,0,0,0,11.10%,2.20%
17,Middle Tennessee,0.3,0.5,1,1,0.5,1,1,0,0,0,0,0,0,1.50%,0.10%
18,Kansas,0.3,-0.3,3,1,0.75,1,1,1,1,0,0,0,1,28.90%,8.10%
19,Arkansas,0.2,0.3,1,1,0.5,1,1,0,0,0,0,0,0,1.90%,0.10%
20,UCLA,0.1,0.2,2,1,0.667,1,1,1,0,0,0,0,0,11.30%,2.20%
21,Arizona,0,-0.3,2,1,0.667,1,1,1,0,0,0,0,1,12.40%,2.40%
22,UC Davis,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
23,Notre Dame,0,-0.2,1,1,0.5,1,1,0,0,0,0,0,0,3.60%,0.40%
24,Texas Southern,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
25,South Dakota St.,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
26,Mount St. Mary's,0,0,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
27,Northern Kentucky,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
28,North Dakota,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
29,Jacksonville St.,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
30,Kent St.,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
31,Cincinnati,-0.1,-0.1,1,1,0.5,1,1,0,0,0,0,0,0,5.30%,1.00%
32,Troy,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
33,Iona,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
34,West Virginia,-0.1,0.4,2,1,0.667,1,1,1,0,0,0,0,0,18.20%,5.50%
35,Bucknell,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
36,East Tennessee St.,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
37,Winthrop,-0.2,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
38,New Mexico St.,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
39,Florida Gulf Coast,-0.2,-0.2,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
40,UNC Wilmington,-0.3,-0.5,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
41,Vermont,-0.3,-0.3,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
42,Dayton,-0.3,-0.9,0,1,0,1,0,0,0,0,0,0,0,0.60%,0.00%
43,Nevada,-0.4,-0.5,0,1,0,1,0,0,0,0,0,0,0,0.60%,0.00%
44,Virginia Tech,-0.4,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.50%,0.00%
45,Virginia,-0.4,-0.2,1,1,0.5,1,1,0,0,0,0,0,0,8.30%,1.80%
46,Princeton,-0.5,-0.5,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
47,VCU,-0.5,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.70%,0.00%
48,Saint Mary's,-0.5,0.1,1,1,0.5,1,1,0,0,0,0,0,0,9.30%,2.00%
49,Wichita St.,-0.5,0.4,1,1,0.5,1,1,0,0,0,0,0,0,11.80%,2.90%
50,Iowa St.,-0.5,-0.2,1,1,0.5,1,1,0,0,0,0,0,0,9.90%,1.80%
51,Seton Hall,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.10%
52,Marquette,-0.6,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.30%,0.10%
53,Kansas St.,-0.6,-0.7,0,1,0,1,0,0,0,0,0,0,0,1.50%,0.10%
54,Vanderbilt,-0.7,-0.6,0,1,0,1,0,0,0,0,0,0,0,1.40%,0.20%
55,Florida St.,-0.7,-0.8,1,1,0.5,1,1,0,0,0,0,0,0,6.70%,0.90%
56,Miami FL,-0.7,-0.7,0,1,0,1,0,0,0,0,0,0,0,1.30%,0.10%
57,Maryland,-0.7,-1.1,0,1,0,1,0,0,0,0,0,0,0,1.20%,0.10%
58,Minnesota,-0.9,-1.2,0,1,0,1,0,0,0,0,0,0,0,1.90%,0.20%
59,Creighton,-0.9,-1.1,0,1,0,1,0,0,0,0,0,0,0,3.00%,0.30%
60,Oklahoma St.,-0.9,-0.6,0,1,0,1,0,0,0,0,0,0,0,5.20%,0.80%
61,Duke,-1,-1.3,1,1,0.5,1,1,0,0,0,0,0,1,13.10%,2.60%
62,Louisville,-1,-1.3,1,1,0.5,1,1,0,0,0,0,0,1,16.30%,3.60%
63,Villanova,-1.6,-2.3,1,1,0.5,1,1,0,0,0,0,0,1,26.70%,8.80%
64,SMU,-1.6,-1.1,0,1,0,1,0,0,0,0,0,0,0,10.80%,2.30%
