RK,TEAM,PAKE,PASE,WINS,LOSS,W%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Connecticut,11.7,11.6,33,9,0.786,12,10,7,6,4,3,3,5,86.20%,38.20%
2,North Carolina,10.8,9.6,41,12,0.774,14,14,9,8,5,3,2,8,97.40%,62.40%
3,Michigan St.,10.7,13,40,16,0.714,17,12,11,8,6,2,1,5,96.00%,54.90%
4,Butler,9,10.1,19,11,0.633,11,9,4,2,2,2,0,0,36.20%,5.00%
5,UCLA,8.2,7.9,25,12,0.676,12,10,8,3,3,1,0,3,76.80%,27.10%
6,Florida,7.6,9.7,33,11,0.75,13,10,7,7,4,3,2,4,94.30%,55.90%
7,Kentucky,7,7.3,37,14,0.725,15,14,9,7,4,2,1,7,97.80%,67.20%
8,Syracuse,7,5.3,28,12,0.7,13,11,8,4,3,1,1,2,80.20%,27.60%
9,Wisconsin,4.1,7.6,31,17,0.646,17,14,9,4,3,1,0,3,88.30%,37.30%
10,Arizona,3.9,3.3,28,15,0.651,15,11,9,6,1,1,0,5,92.20%,47.00%
11,Maryland,3.6,4,20,9,0.69,10,10,4,2,2,1,1,1,76.30%,26.40%
12,Oregon,3.2,2.2,14,9,0.609,9,7,4,3,0,0,0,2,46.20%,7.70%
13,Louisville,3.2,6.1,27,12,0.692,13,9,7,6,3,1,1,2,92.40%,50.60%
14,Kansas,3.1,0.6,42,16,0.724,17,15,11,8,4,3,1,11,99.10%,75.50%
15,Xavier,3,3.4,18,13,0.581,13,10,6,2,0,0,0,1,50.20%,8.60%
16,West Virginia,2.9,3,14,9,0.609,9,6,5,2,1,0,0,1,52.30%,11.40%
17,George Mason,2.5,3,5,4,0.556,4,2,1,1,1,0,0,0,9.10%,1.20%
18,Michigan,2.1,2.6,10,6,0.625,6,4,2,2,1,1,0,1,40.50%,10.30%
19,UAB,1.9,2,4,4,0.5,4,3,1,0,0,0,0,0,3.50%,0.20%
20,Ohio,1.9,2.3,3,3,0.5,3,2,1,0,0,0,0,0,1.80%,0.10%
21,Tulsa,1.9,3.1,5,4,0.556,4,3,1,1,0,0,0,0,13.20%,3.20%
22,Wichita St.,1.8,2.5,10,6,0.625,6,5,3,1,1,0,0,1,41.50%,11.20%
23,Florida Gulf Coast,1.7,1.9,2,2,0.5,2,1,1,0,0,0,0,0,0.10%,0.00%
24,Auburn,1.6,1.5,3,2,0.6,2,2,1,0,0,0,0,0,2.60%,0.20%
25,Villanova,1.6,1.1,20,10,0.667,11,8,5,3,2,1,1,5,82.70%,39.00%
26,La Salle,1.5,1.8,2,1,0.667,1,1,1,0,0,0,0,0,0.80%,0.00%
27,Bradley,1.4,1.8,2,1,0.667,1,1,1,0,0,0,0,0,2.50%,0.20%
28,Kent St.,1.4,2,4,4,0.5,4,2,1,1,0,0,0,0,7.80%,1.20%
29,Georgia Tech,1.3,2,7,5,0.583,5,3,1,1,1,1,0,0,31.60%,5.90%
30,Georgia St.,1.3,1.2,2,2,0.5,2,2,0,0,0,0,0,0,0.30%,0.00%
31,VCU,1.3,1.5,8,9,0.471,9,5,1,1,1,0,0,0,20.50%,2.40%
32,Milwaukee,1.2,1.2,3,4,0.429,4,2,1,0,0,0,0,0,3.10%,0.30%
33,Dayton,1.1,-0.6,5,7,0.417,7,3,1,1,0,0,0,0,5.90%,0.30%
34,Cornell,1.1,1.2,2,3,0.4,3,1,1,0,0,0,0,0,2.00%,0.10%
35,Tennessee,1,1,12,9,0.571,9,6,5,1,0,0,0,2,41.40%,7.60%
36,Memphis,1,-0.1,16,10,0.615,10,7,4,3,1,1,0,4,80.90%,38.40%
37,Miami FL,1,-0.3,7,5,0.583,5,4,3,0,0,0,0,1,25.60%,4.30%
38,Marquette,1,0.9,13,10,0.565,10,6,4,2,1,0,0,0,44.90%,7.40%
39,Norfolk St.,0.9,0.9,1,1,0.5,1,1,0,0,0,0,0,0,0.00%,0.00%
40,Middle Tennessee,0.8,0.9,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
41,Mercer,0.8,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
42,Western Kentucky,0.7,0.9,3,7,0.3,7,2,1,0,0,0,0,0,3.70%,0.10%
43,Morehead St.,0.7,0.7,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
44,Penn St.,0.6,0.5,2,2,0.5,2,1,1,0,0,0,0,0,2.60%,0.10%
45,Nevada,0.6,0.7,4,4,0.5,4,3,1,0,0,0,0,0,11.20%,1.30%
46,Gonzaga,0.6,-0.1,21,17,0.553,17,14,6,1,0,0,0,3,73.70%,19.30%
47,Northwestern St.,0.6,0.7,1,3,0.25,3,1,0,0,0,0,0,0,0.20%,0.00%
48,Hampton,0.6,0.7,1,5,0.167,5,1,0,0,0,0,0,0,0.10%,0.00%
49,LSU,0.6,0.8,7,6,0.538,6,3,2,1,1,0,0,0,31.00%,6.10%
50,Central Michigan,0.5,0.4,1,1,0.5,1,1,0,0,0,0,0,0,0.40%,0.00%
51,Little Rock,0.5,0.5,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.10%
52,Lehigh,0.5,0.9,1,2,0.333,2,1,0,0,0,0,0,0,0.60%,0.00%
53,Bucknell,0.4,0.4,2,4,0.333,4,2,0,0,0,0,0,0,2.80%,0.20%
54,Siena,0.4,0.9,2,4,0.333,4,2,0,0,0,0,0,0,1.80%,0.00%
55,Cleveland St.,0.4,0.8,1,1,0.5,1,1,0,0,0,0,0,0,1.20%,0.10%
56,Wyoming,0.4,-0.1,1,2,0.333,2,1,0,0,0,0,0,0,0.50%,0.00%
57,Pacific,0.4,0.4,2,4,0.333,4,2,0,0,0,0,0,0,3.00%,0.20%
58,Washington,0.3,-0.3,8,6,0.571,6,5,3,0,0,0,0,1,34.70%,5.80%
59,Yale,0.3,0.5,1,1,0.5,1,1,0,0,0,0,0,0,2.90%,0.20%
60,Stephen F. Austin,0.3,0.7,2,4,0.333,4,2,0,0,0,0,0,0,4.60%,0.30%
61,Purdue,0.3,1.7,12,10,0.545,10,8,3,1,0,0,0,0,47.10%,9.60%
62,Indiana St.,0.3,0.1,1,3,0.25,3,1,0,0,0,0,0,0,0.40%,0.00%
63,Seton Hall,0.2,0,3,4,0.429,4,2,1,0,0,0,0,0,7.60%,0.90%
64,North Carolina St.,0.2,1.8,9,9,0.5,9,6,3,0,0,0,0,0,32.50%,5.80%
65,Virginia Tech,0.2,-0.2,1,1,0.5,1,1,0,0,0,0,0,0,2.00%,0.20%
66,San Diego,0.2,0.5,1,2,0.333,2,1,0,0,0,0,0,0,0.60%,0.00%
67,Harvard,0.2,0.6,2,4,0.333,4,2,0,0,0,0,0,0,3.70%,0.20%
68,Vermont,0.2,0.6,1,5,0.167,5,1,0,0,0,0,0,0,0.80%,0.00%
