RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
1,Sr,Zach Edey,Purdue,B10,77.1,7.7,15.4,130,33.1,62.4,66.1,18.8,25.3,15,12.4,7.4,0.5,84.5,0.623,0.5
2,Sr,Terrence Shannon Jr.,Illinois,B10,70.5,6.8,10.6,126.5,27.6,56.6,63.1,2.7,10,12.7,12.3,2.3,1.7,60.5,0.588,0.361
3,Sr,Mark Sears,Alabama,SEC,82.3,6.5,10.6,129,26,59.9,65.7,3,10.5,22.2,15.6,0.3,2.7,50,0.56,0.435
4,Jr,KJ Simpson,Colorado,P12,86.8,6,9.2,122.6,26.4,55.2,60.6,2.8,16.4,27.1,13.9,0.2,2.7,36.3,0.497,0.434
5,Sr,Jaedon LeDee,San Diego St.,MWC,79.4,6,10.1,120.5,30.2,58.1,62.9,11.5,17.1,10.2,14,2,2.1,68.6,0.574,0.436
6,Jr,DaRon Holmes II,Dayton,A10,80.7,5.9,11.5,119.1,31.2,58.4,62.6,6.8,23.7,19,13.7,7.2,1.8,72.4,0.585,0.386
7,Sr,RJ Davis,North Carolina,ACC,86.4,5.8,10,121.6,26,53.2,57.8,1.6,9.6,19.6,9.3,0.6,1.9,27.9,0.458,0.411
8,Sr,Ryan Kalkbrenner,Creighton,BE,83.9,5.8,9.7,130.2,21.1,67.3,68.5,9.6,15.1,7.4,12,7.7,0.7,40.4,0.711,0.302
9,Sr,Cam Spencer,Connecticut,BE,81.7,5.7,10.5,137.2,18.5,61.5,64.9,3.6,11.7,19.1,10.5,0.6,2.6,22.7,0.553,0.44
10,Jr,Tyson Degenhart,Boise St.,MWC,83,5.6,8.5,126.8,22.6,53.9,59.9,7.8,15,9.3,8,1,1.9,52.5,0.56,0.323
11,Sr,Xavier Johnson,Southern Illinois,MVC,91.3,5.5,6.3,112.2,34.1,48.7,57.3,1.8,12.5,39.4,16.7,0.7,2.5,50.3,0.446,0.371
12,Sr,Tyler Kolek,Marquette,BE,68.1,5.3,9.1,118.8,26.7,56.5,60.2,2.4,14.4,42.7,19.1,0.5,2.9,26.3,0.55,0.397
13,Sr,Boo Buie,Northwestern,B10,90.6,5.3,6.3,114.4,27.8,52.9,57.5,2.2,9.5,28.7,13.7,0.2,2.4,30.1,0.441,0.434
14,So,Caden Pierce,Princeton,Ivy,86.8,5.2,7.6,123.2,25.7,59,62.4,7.3,27.3,20.2,13,1.8,2.3,39.9,0.613,0.346
15,Sr,Antonio Reeves,Kentucky,SEC,77.8,5.2,6.2,126.5,23.6,60.3,64,2.7,11.1,9.2,8.9,0.8,1.1,28.5,0.557,0.447
16,Sr,Zyon Pullin,Florida,SEC,75.5,5.2,5.8,127.4,20.5,49.3,57.4,2.2,10.1,24.7,10.3,0.3,1.5,53.4,0.442,0.449
17,Sr,Riley Minix,Morehead St.,OVC,87.3,5.2,8.1,122.7,28.1,60.4,64,9.7,21.1,14.4,15.3,3.1,2.1,32.7,0.651,0.342
18,Sr,Jahmir Young,Maryland,B10,84.7,5.2,9.7,110.9,30.7,46,54.6,3.2,12.9,30,15,0.9,2.3,44.6,0.447,0.324
19,Sr,Tristen Newton,Connecticut,BE,82.7,5.1,9.4,119.3,26.4,50,56.5,5.1,18,31.6,17.6,1.1,1.8,48.4,0.518,0.321
20,Sr,Baylor Scheierman,Creighton,BE,89.5,5.1,8.7,116.5,24.8,56.2,59.7,2.6,23.6,20.2,14.6,0.3,1.5,23,0.553,0.379
21,So,Robbie Avila,Indiana St.,MVC,74.2,5.1,8.5,126.6,25.5,60.2,64.5,5.1,19,24.6,12.9,2.2,1.2,40.6,0.617,0.382
22,Sr,N'Faly Dante,Oregon,P12,47.5,5,11.7,120.1,24.2,69.5,68.6,10.3,24.5,11.2,18.2,6.6,3.2,50.5,0.695,0
23,So,Bruce Thornton,Ohio St.,B10,80.7,4.9,7.1,121.3,23.3,49.6,55.5,1.5,10.5,27,9.2,0.2,2.1,36.1,0.498,0.329
24,Jr,Dillon Jones,Weber St.,BSky,93.3,4.9,7.6,113.3,31.2,52,58.6,2.9,31,31.3,16.1,0.3,3.1,45.4,0.534,0.317
25,Sr,Keion Brooks Jr.,Washington,P12,86.1,4.9,5.7,115.1,26.1,54.3,59.4,4.9,16.7,7.7,11.6,2.1,1.1,44.7,0.532,0.38
26,Jr,Devin Carter,Providence,BE,82.3,4.9,11.3,112.7,27.8,56.4,59.8,3.4,23.7,23.3,16.1,2.8,2.9,37.6,0.563,0.377
27,Jr,Frankie Fidler,Nebraska Omaha,Sum,92.4,4.9,5.5,120.5,26.9,52.1,60.4,4,17.4,15.6,10.3,1.4,1.9,56.5,0.506,0.368
28,Sr,Drew Pember,UNC Asheville,BSth,76.2,4.8,10.5,116.8,32.2,53.5,61.9,5.5,24.5,24.9,16.1,6,1.6,64.8,0.522,0.368
29,Sr,Jalen Bridges,Baylor,B12,78.5,4.8,8.7,130.1,16.8,58.5,61.6,7.7,15.1,8.2,10.4,1.9,1.9,25.9,0.531,0.417
30,Sr,Isaiah Stevens,Colorado St.,MWC,87.5,4.8,6.7,114.9,26,53.8,57.5,1.7,8.9,38.8,15.6,0.5,2.1,25.3,0.491,0.421
31,Sr,David Jones,Memphis,Amer,80.5,4.8,8,114,30.5,54,59.3,8.9,16.7,11.8,16.8,1.5,3.7,44.7,0.518,0.38
32,Sr,Quincy Olivari,Xavier,BE,80.6,4.8,7.8,117.1,24.6,53.9,58.9,1.7,16.9,13.2,11,0.2,2.3,39.3,0.444,0.409
