RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
209,Jr,Michael Washington,Arkansas,SEC,74.2,3.5,4.1,110.4,24.6,55.9,57.4,12.6,23.5,6.5,15.5,4.7,1.8,52.9,0.59,0.167
210,Jr,Nik Raivio,Portland,WCC,76.6,3.5,5.1,107.5,27.5,51.9,54.8,5.7,20.7,17.4,15.9,0.6,2.5,36.4,0.502,0.368
211,Jr,David Kool,Western Michigan,MAC,84.6,3.5,3.1,102.7,28.8,45.9,53.9,1.7,12.3,16.8,17.1,0,2.6,42,0.47,0.297
212,Jr,Trevon Hughes,Wisconsin,B10,79.5,3.5,4.7,104.9,24.1,46.4,52.2,2.6,11.2,20.3,16.4,0.1,3.1,43.2,0.401,0.359
213,Sr,Gyno Pomare,San Diego,WCC,66.5,3.5,6.5,111,26.5,54.1,57.8,9.6,18.1,9,13.1,5.1,2.1,39.9,0.541,0
214,Sr,Alfred Aboya,UCLA,P12,68.4,3.5,3.8,119.2,18.3,54.2,58.1,13.2,16.1,3.9,13.1,0.7,2.2,54.2,0.542,0
215,Sr,Shaun Green,Utah,MWC,72.7,3.4,9.1,121,17.2,61,62.5,5.9,14.1,13.7,14.6,3.3,2.2,25.2,0.691,0.39
216,Jr,Matt Mullery,Brown,Ivy,82.4,3.4,4.9,110.4,24.6,62,63.2,7.4,16.6,17.5,18.5,6.7,1.5,51.9,0.622,0.4
217,Jr,Ben Uzoh,Tulsa,CUSA,89.1,3.4,5.7,106.7,22.4,49.2,55,2.8,12.3,21.9,19.9,1.4,2.6,42.9,0.49,0.331
218,Sr,Ryan Ayers,Notre Dame,BE,79.3,3.4,5.2,121.1,13.7,57.2,58.6,2.6,8.7,7.6,8.4,2.1,1.4,12.6,0.455,0.415
219,Sr,Michael Deloach,Norfolk St.,MEAC,90.4,3.4,1.8,102.1,31.2,48.8,52.8,5,10.3,19.3,18.4,0.8,3.2,37.3,0.486,0.33
220,Jr,Reggie Holmes,Morgan St.,MEAC,77.9,3.4,5.3,112.5,25.3,47.4,51.9,6.7,13.2,4,10.1,1.1,2.3,36.3,0.379,0.367
221,Sr,Tony Danridge,New Mexico,MWC,79.3,3.4,4.4,107.5,24.8,49.2,55.3,4.1,11.3,18.5,16,0.5,2.2,55.2,0.506,0.214
222,Sr,Anthony Smith,Liberty,BSth,90.9,3.4,2.7,111.2,22.6,57.8,59.7,3.7,15.6,12.8,16,0.4,1.9,37.2,0.586,0.379
223,Jr,Theo Robertson,California,P12,82.5,3.4,4,110.4,19.9,57.4,60,2.8,11.3,14.2,20.1,0.2,1.3,23.8,0.488,0.487
224,So,A.J. Ogilvy,Vanderbilt,SEC,64.4,3.4,6.6,106.5,28.2,55.5,60,8,21.1,11.4,20.7,6.3,1.8,70,0.573,0.259
225,Jr,Landry Fields,Stanford,P12,76.6,3.4,6.3,111,21.6,54.8,56.9,9,18.1,12.6,16.5,1.7,2.4,37.4,0.547,0.368
226,Jr,Josh Young,Drake,MVC,83.3,3.4,2.1,105.5,26.1,45.7,54.7,4.2,9.6,10.7,15.5,0.1,2,55,0.436,0.318
227,Jr,Adam Koch,Northern Iowa,MVC,69,3.4,4.3,110.9,25.6,52.1,60.5,7,15.5,16.2,19.3,2,1.1,83.8,0.533,0.311
228,Jr,Paul Harris,Syracuse,BE,72.4,3.4,6,110.4,20.1,50.8,56.9,8.9,18.3,12.5,19.2,2.4,1.9,55.8,0.535,0.233
229,Sr,Jeremy Chappell,Robert Morris,NEC,81.4,3.4,8.2,110,26,56.3,59.1,6,17.3,22.3,20.1,2.2,4.5,19.6,0.535,0.396
230,Jr,Denis Clemente,Kansas St.,B12,69.9,3.4,4.6,106.5,25.8,47.6,51.7,2.1,7.6,24.7,19.8,0,1.7,26.7,0.424,0.371
231,Sr,Mike Schachtner,Green Bay,Horz,61.8,3.4,2.8,120.1,22.1,51.1,59.6,8.8,12.9,7.9,13.6,0.8,0.9,52.9,0.452,0.431
232,So,Jared Stohl,Portland,WCC,63.9,3.4,6.5,127.9,17.2,65.7,67.5,1.4,6,13.2,14.5,0.1,1.4,18.2,0.565,0.453
233,Jr,Derek Glasser,Arizona St.,P12,78.9,3.4,4.1,112.2,18.7,50.7,58,1.8,6.1,28.5,23.2,0,1.9,51.9,0.381,0.413
234,So,Armon Johnson,Nevada,WAC,79,3.4,3.2,103.7,28.1,44.4,49.6,2.9,9.9,31.7,15.8,0.6,1.6,32.6,0.456,0.264
235,Jr,Jonathan Tavernari,BYU,MWC,79,3.4,5.9,108.3,23.4,52.4,53.9,3.9,21.6,11.2,10.6,1.1,2.6,11.2,0.477,0.381
236,Sr,Goran Suton,Michigan St.,B10,56.3,3.3,10,116.7,19.2,56.6,61,12.8,23.9,11.9,20.8,2.2,2.6,33.5,0.543,0.438
237,So,Alex Tyus,Florida,SEC,65.6,3.3,3.6,118,20.7,59.1,60.6,9.5,18.1,5.1,12.4,3.2,1.1,27,0.591,0
238,Sr,Kahiem Seawright,Rhode Island,A10,74.8,3.3,3.2,110.5,24.2,50.1,55.1,10.3,18.3,13,16.6,3.4,1.6,56.5,0.503,0
239,Jr,Wayne Chism,Tennessee,SEC,64,3.3,5.5,110,25.2,52.4,55.9,11.5,23.2,9.4,17.4,4.4,1.7,37.9,0.549,0.32
240,So,Paris Horne,St. John's,BE,83.8,3.3,6.2,106.9,21.4,50.8,52.7,4.8,6.3,14,16.4,1.6,2.8,20.9,0.513,0.335
241,So,Corey Raji,Boston College,ACC,68,3.3,3.6,119.4,18.5,49.6,52.7,13.8,11.6,11.2,10.6,0.5,1.5,32.5,0.517,0.071
242,Jr,Tajuan Porter,Oregon,P12,80.1,3.3,2.7,104.7,23.5,50.7,55.6,2.3,7.3,13.3,18.9,0.2,1.9,28.9,0.416,0.377
243,Sr,Paul Graham III,Florida Atlantic,SB,83.7,3.3,0.2,102.7,28.8,45.5,50.4,2.8,10.2,14.8,12.7,0.3,1.1,28,0.425,0.335
244,So,Joe Trapani,Boston College,ACC,72.3,3.3,4.4,110.8,22.7,50.4,54.7,8,17.4,10.4,17.6,3.4,1.2,31.7,0.477,0.364
245,So,Jamarco Warren,Charleston Southern,BSth,83.7,3.3,1.7,107.7,26.5,52,55.3,1.2,8.4,18.1,16,0.3,1.6,27.3,0.413,0.392
246,Jr,T.J. Campbell,Portland,WCC,76.1,3.3,4.7,117,19.4,66.2,67.8,1.2,8,30.1,26.9,0.4,2.2,17.6,0.459,0.536
247,Jr,Garrett Callahan,South Dakota St.,Sum,84.9,3.3,1.5,110.7,23,53.9,59,2.3,8.9,11.8,19,0.2,1.5,38,0.456,0.418
248,So,Brock Young,East Carolina,CUSA,83,3.3,-0.2,106.5,24.3,41.8,50.4,2.1,10.8,45.4,22.8,0.1,2.1,48.3,0.391,0.328
249,Sr,Garrison Carr,American,Pat,89.3,3.3,1.7,103.1,27.1,52.2,55,1.9,8.7,11,17.4,0.2,1.7,22.3,0.421,0.389
250,So,Clint Sargent,South Dakota St.,Sum,64.5,3.3,3,114.9,22.8,53,56.3,2.8,9.4,15.2,13,0.5,1.1,33.8,0.484,0.376
251,So,Damian Saunders,Duquesne,A10,85.2,3.3,6.7,113.1,18.5,60.2,59.4,8.4,17.2,12.5,17.6,7.4,3.4,29.9,0.645,0.343
252,Jr,Darryl Crawford,Manhattan,MAAC,69.5,3.3,6.8,109.7,26.8,46.5,53.3,5.2,13.1,20.3,13.2,1.5,3.1,58.2,0.436,0.373
253,Sr,Joe Krabbenhoft,Wisconsin,B10,74.9,3.3,6,113.7,17.9,51,57,7.9,22.5,17.8,18.9,1.9,2,39,0.503,0.364
254,Sr,Joey Henley,Sacred Heart,NEC,75.9,3.3,2.4,116.4,22.9,62.6,63.5,9.7,16.3,9.5,16.8,4.4,1.4,46.6,0.628,0
255,Fr,Terrico White,Mississippi,SEC,74.6,3.3,4.1,108,23.1,51.2,52.6,3,9.3,16.6,14.9,0.9,1.6,21.3,0.495,0.354
256,So,Andrew Goudelock,College of Charlesto,SC,77.5,3.3,1.6,114.1,23.7,55.8,58.3,1.8,6.9,11.9,14.9,0.9,1.3,15.6,0.475,0.44
257,So,D.J. Kennedy,St. John's,BE,86.2,3.2,5.8,107,20.9,45.6,52.3,5.5,16.7,17.7,17.5,1.3,2.6,56.2,0.436,0.333
258,Jr,Ashton Mitchell,Sam Houston St.,Slnd,75.7,3.2,4.6,108.6,26.4,47.4,56.1,3.3,11.3,44.2,24.4,0.5,3,68.5,0.479,0.311
259,So,Terrence Oglesby,Clemson,ACC,64.4,3.2,3.3,112.2,23.2,50.9,54.8,2.7,4.6,12.4,17.4,0.1,1.9,24.4,0.346,0.388
260,Jr,Ricky Harris,Massachusetts,A10,80.4,3.2,2.5,103.1,26.7,52.1,56.6,1.3,8.5,10.4,17.3,0.5,2.2,35,0.464,0.38
261,Jr,Davis Baker,Southern Utah,Sum,88.8,3.2,1.9,106.9,25.1,53.2,57.2,3,14.1,10.7,16.1,0.5,1.6,23.9,0.491,0.427
262,So,Dar Tucker,DePaul,BE,78.6,3.2,3.3,96,32,44.6,48.8,5,13.5,11.7,16.1,1.2,2.6,35,0.459,0.284
263,Fr,Shelvin Mack,Butler,Horz,77.8,3.2,4.4,106.9,23.8,47.2,51.9,5.3,12.1,26.3,18,0.1,2.3,35,0.463,0.319
264,Sr,Trent Meacham,Illinois,B10,76.4,3.2,5.7,115.4,16.7,55,58.1,1,8.3,17,13,0.4,1.9,21.5,0.425,0.421
265,Sr,Lorrenzo Wade,San Diego St.,MWC,59.3,3.2,5.4,102.6,26.1,49.3,54,2.7,15.5,20.1,20.8,1.9,2.4,38.5,0.491,0.333
266,Sr,Sam Hinnant,East Carolina,CUSA,87.4,3.2,-0.1,109,20.9,50,54.4,2.1,9.3,10.1,12.4,0.2,0.9,28.8,0.394,0.369
267,So,Norris Cole,Cleveland St.,Horz,84.2,3.2,3.7,109.3,20.9,50.3,53.8,3.3,5.3,16.5,13.3,0.5,2.2,24.5,0.531,0.295
268,Sr,Jay Tunnell,Indiana St.,MVC,71.8,3.2,3.9,111.7,22.4,58.1,61.2,7.4,18.8,12.1,18,1,1.3,44.3,0.533,0.43
269,Sr,J'Nathan Bullock,Cleveland St.,Horz,81.6,3.2,3.7,104.5,25.3,44.1,50.1,7.1,18.5,9.1,11.4,1.5,1.8,44.1,0.447,0.283
270,Jr,Mike Smith,East Tennessee St.,ASun,87,3.2,3.7,113.2,20.4,51.1,56.3,4.7,19.2,11.5,13.8,1.7,2.1,42.8,0.49,0.37
271,So,Bill Clark,Duquesne,A10,72.8,3.2,2.9,112.5,21.5,60.8,62.8,6.4,13.6,16.9,22,0.7,1.8,47.2,0.625,0.398
272,Jr,Maze Stallworth,Morehead St.,OVC,70.8,3.2,3.6,121.7,17.3,53.9,57.2,6.8,8.1,7.1,12.4,2.1,1.3,29.3,0.419,0.388
273,Jr,Corey Lowe,Boston University,AE,84.8,3.2,2,103.6,27.5,53.5,54.7,2.1,10.9,28.7,20.8,0.4,2.1,26.2,0.503,0.373
274,Fr,Rotnei Clarke,Arkansas,SEC,77.7,3.2,3.2,120.8,15.3,54.9,57.9,1.5,5.1,6.4,9.6,0.1,1.6,15.6,0.446,0.393
275,So,Ayron Hardy,Jacksonville,ASun,68.7,3.2,6.3,125.7,15.8,64.2,65.4,9.2,12.4,12.1,17.8,3.4,3.4,30.8,0.642,0.429
276,Jr,Clevin Hannah,Wichita St.,MVC,71.2,3.2,5.1,110.9,23.2,58.7,61.5,1.7,7.4,34.2,25.1,0,2.9,34.1,0.533,0.415
277,Sr,Bryan LeDuc,Pacific,BW,58.7,3.2,6.1,123.6,21.3,62.4,65.3,8.3,16.8,1.9,12.6,2.5,2.4,34.4,0.652,0.393
278,Sr,Chad Toppert,New Mexico,MWC,59.9,3.2,7.1,123.8,18.4,58.2,62.4,3.3,12.8,9.5,10.1,0.6,0.6,36.3,0.479,0.404
279,Sr,Kevin Rogers,Baylor,B12,82.8,3.2,2.4,107.2,20.3,55.9,57.4,9.2,17.7,6.8,19,2.3,1.4,40.6,0.562,0
280,Fr,Seth Curry,Liberty,BSth,90.9,3.2,0.3,103.7,27.2,48.7,53,2.2,10.7,13.9,14.2,0.8,2,26.4,0.479,0.331
281,Jr,Sharaud Curry,Providence,BE,79.2,3.2,1.7,112.9,18.2,50.8,56,1.1,5.4,23.4,19.6,0,1.8,32.6,0.434,0.39
282,Jr,Quincy Pondexter,Washington,P12,70.1,3.2,5.9,111.8,20.9,51.1,55.2,10.9,12.3,11,18,1.2,1.3,38,0.518,0.231
283,Jr,Jarvis Varnado,Mississippi St.,SEC,69.5,3.2,8.9,110.7,22.5,54.2,56.8,11.6,19.8,6.7,14.6,15.2,1.3,48.3,0.544,0
284,So,Rahmon Fletcher,Green Bay,Horz,69.9,3.2,4.3,111.8,23.4,54.5,58.4,2.7,7.4,35.4,22.5,0.4,3.9,34.3,0.559,0.338
285,Jr,DaJuan Summers,Georgetown,BE,72.4,3.1,5,104.5,24.4,56.4,59.8,5.3,11.5,9.7,22.4,2.5,2.4,47.1,0.552,0.385
286,Jr,Will Walker,DePaul,BE,86.1,3.1,3.4,106.1,21,49.8,51.3,2.4,6,10,11,0.5,2.9,18.2,0.454,0.368
