RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
302,Fr,Henry Ellenson,Marquette,BE,82.6,3.1,3.5,103.4,25.8,48.0,53.4,7.8,24.1,11.0,15.0,4.4,1.4,43.9,0.495,0.288
304,Jr,Matt Jones,Duke,ACC,76.8,3.1,3.4,117.5,16.0,53.3,55.1,3.7,5.1,12.7,12.7,0.6,1.8,17.4,0.397,0.415
311,Fr,Tyler Davis,Texas A&M,SEC,54.7,3.0,6.7,117.7,22.4,65.5,65.6,14.2,15.6,6.6,18.2,5.9,1.4,73.4,0.655,0.0
313,Jr,Devin Williams,West Virginia,B12,63.0,3.0,4.7,107.0,27.1,46.7,53.1,14.8,29.2,11.1,18.4,0.9,1.6,68.2,0.467,0.0
314,Jr,Luke Fischer,Marquette,BE,69.6,3.0,2.8,115.1,19.9,60.8,62.8,13.0,11.8,7.0,17.2,5.0,0.8,46.9,0.608,0.0
315,Sr,Isaiah Cousins,Oklahoma,B12,82.4,3.0,4.5,104.9,22.1,48.4,50.6,2.1,11.9,25.1,18.2,0.8,2.3,23.3,0.403,0.411
317,Jr,Mo Alie-Cox,VCU,A10,66.2,3.0,6.6,121.7,17.9,61.2,65.0,9.9,11.8,7.0,17.2,7.4,1.4,61.2,0.612,0.0
318,Fr,Tyler Lydon,Syracuse,ACC,75.1,3.0,6.7,118.0,16.2,57.2,60.6,6.6,16.4,7.6,15.8,7.1,2.3,35.1,0.542,0.405
319,Sr,Jonathan Holton,West Virginia,B12,50.8,3.0,8.4,122.3,18.5,56.1,58.4,16.7,21.3,11.8,15.5,1.8,2.4,41.1,0.618,0.244
320,Jr,Brett Bisping,Siena,MAAC,81.5,3.0,1.9,112.7,22.3,51.4,57.1,8.3,26.1,8.7,17.8,1.4,1.2,45.2,0.509,0.351
333,Jr,Julian Jacobs,USC,P12,69.6,3.0,4.2,107.4,22.2,49.8,54.1,3.6,12.6,30.3,21.3,1.3,2.2,45.6,0.5,0.326
335,Sr,Jordan Loveridge,Utah,P12,77.0,2.9,3.7,113.7,17.8,53.3,57.1,1.6,12.0,10.1,12.2,0.4,1.1,30.6,0.358,0.406
336,Sr,Javan Felix,Texas,B12,66.8,2.9,4.7,112.5,20.1,50.7,54.3,1.9,5.7,17.2,12.0,0.0,1.8,21.8,0.488,0.354
337,Sr,Sterling Gibbs,Connecticut,Amer,81.2,2.9,3.3,111.4,19.1,50.9,57.2,1.1,6.1,12.9,15.2,0.1,1.7,40.6,0.387,0.387
347,Fr,Ethan Happ,Wisconsin,B10,69.6,2.9,7.3,105.9,25.4,53.8,56.7,10.5,23.8,10.9,19.0,3.5,4.0,55.4,0.538,0.0
348,Sr,Jalen Jones,Texas A&M,SEC,60.1,2.9,3.1,103.4,27.4,46.6,51.1,7.8,20.6,5.0,12.3,1.2,1.4,41.5,0.459,0.324
352,Sr,Ge'Lawn Guyn,East Tennessee St.,SC,79.1,2.9,2.5,107.2,26.5,51.8,55.1,2.0,11.8,11.0,13.1,2.4,1.9,29.1,0.44,0.413
360,Sr,Shaq Goodwin,Memphis,Amer,71.2,2.9,4.6,107.2,23.8,48.4,54.9,8.0,18.1,10.6,15.1,6.1,1.8,63.9,0.488,0.25
362,Sr,Cameron Forte,Portland St.,BSky,74.6,2.8,2.0,104.4,31.7,57.8,57.8,12.0,23.2,19.7,19.1,1.4,1.8,46.5,0.577,0.5
364,Jr,Lorenzo Bonam,Utah,P12,66.0,2.8,5.3,113.3,20.1,54.9,59.0,2.7,10.4,21.3,18.2,2.0,2.0,28.8,0.536,0.4
368,Fr,Dwayne Bacon,Florida St.,ACC,71.7,2.8,1.8,102.8,27.3,48.3,52.1,5.4,17.4,10.4,15.3,0.1,1.9,34.9,0.505,0.281
371,Jr,JeQuan Lewis,VCU,A10,71.1,2.8,5.1,111.4,21.8,54.2,59.8,0.8,9.5,31.3,23.9,0.1,3.2,38.9,0.495,0.415
384,So,Daniel Hamilton,Connecticut,Amer,79.0,2.8,6.9,102.5,25.6,44.4,49.2,3.5,26.8,29.0,17.4,1.5,2.0,24.3,0.416,0.331
386,Sr,James Farr,Xavier,BE,51.5,2.8,6.7,114.5,23.8,54.7,58.2,15.5,25.2,5.7,15.2,5.5,2.1,39.0,0.559,0.125
388,So,P.J. Thompson,Purdue,B10,55.9,2.8,5.6,133.5,12.4,57.0,62.8,3.1,6.9,19.3,13.8,0.0,1.8,50.0,0.478,0.415
390,Jr,Scoochie Smith,Dayton,A10,77.1,2.8,5.1,109.7,20.9,52.3,55.8,2.0,10.2,27.4,17.2,0.5,2.4,50.7,0.484,0.382
393,Jr,T.J. Cromer,East Tennessee St.,SC,80.0,2.8,0.8,110.5,23.3,52.0,55.9,2.1,9.4,19.1,15.2,0.2,1.6,30.5,0.477,0.38
399,Jr,Isaiah Hicks,North Carolina,ACC,45.2,2.7,5.8,123.2,21.3,61.4,65.3,12.5,15.6,6.3,17.4,3.3,1.6,57.2,0.614,0.0
400,Sr,Reggie McAdams,Akron,MAC,66.3,2.7,5.0,121.8,17.9,58.7,60.5,4.3,12.2,6.5,8.6,1.0,1.6,24.7,0.481,0.408
406,Jr,Tim Quarterman,LSU,SEC,71.6,2.7,4.5,109.8,20.7,50.0,53.0,5.9,11.5,22.3,14.6,1.4,1.8,46.8,0.486,0.343
411,Jr,Darryl Smith,Cornell,Ivy,63.0,2.7,2.9,130.5,13.6,71.6,72.1,2.4,12.4,10.0,14.1,1.8,2.5,33.6,0.658,0.6
412,Sr,Cameron Jones,Radford,BSth,71.5,2.7,2.4,111.1,24.5,54.1,55.8,5.6,12.7,9.8,14.8,0.7,1.3,15.0,0.503,0.386
416,So,Quentin Snider,Louisville,ACC,69.4,2.7,4.1,114.4,18.9,48.0,51.1,3.1,6.2,21.9,14.7,0.0,1.7,23.4,0.401,0.404
420,Sr,Mark Tollefsen,Arizona,P12,53.5,2.7,6.9,130.2,13.9,58.9,61.2,7.0,8.7,10.6,10.5,2.6,1.0,22.3,0.627,0.356
429,Fr,Marquese Chriss,Washington,P12,61.2,2.7,4.2,109.3,23.7,56.2,58.6,9.8,11.7,6.3,17.6,5.9,1.9,38.3,0.57,0.35
430,Sr,Kaleb Tarczewski,Arizona,P12,51.2,2.7,5.0,116.4,17.2,53.3,59.2,11.6,26.4,4.2,15.8,4.9,0.6,78.7,0.533,0.0
436,Sr,Trevor Cooney,Syracuse,ACC,90.1,2.6,3.1,105.0,19.5,45.5,49.7,1.8,6.0,13.3,13.1,0.4,2.7,25.1,0.339,0.354
440,So,Tra Holder,Arizona St.,P12,78.8,2.6,2.7,100.8,25.3,45.4,51.2,2.2,10.5,24.0,18.5,0.2,1.9,47.5,0.399,0.366
441,Jr,Jabari Bird,California,P12,64.2,2.6,5.8,118.5,16.6,57.6,58.6,3.3,10.2,6.9,10.7,1.2,1.1,17.0,0.529,0.409
442,Fr,Antonio Blakeney,LSU,SEC,76.4,2.6,1.6,112.7,17.3,50.6,54.8,2.8,9.4,5.5,7.7,0.5,1.2,37.0,0.509,0.335
445,Jr,Kendrick Nunn,Illinois,B10,70.4,2.6,3.5,103.6,22.0,53.2,55.5,1.2,16.1,10.6,12.2,0.6,2.4,17.4,0.471,0.391
447,So,Chinanu Onuaku,Louisville,ACC,61.5,2.6,9.2,112.7,21.9,62.0,62.0,13.7,25.8,12.9,23.3,9.6,1.9,25.3,0.623,0.0
449,Jr,Rodney Purvis,Connecticut,Amer,71.4,2.6,3.7,106.4,23.1,52.7,54.5,1.9,9.4,14.5,13.8,0.4,1.9,26.3,0.479,0.385
455,Sr,Clide Geffrard,Stephen F. Austin,Slnd,62.6,2.6,4.4,115.8,24.7,55.2,59.9,9.8,18.0,10.3,15.9,2.0,2.4,36.9,0.595,0.328
456,Fr,Quinndary Weatherspoon,Mississippi St.,SEC,67.1,2.6,5.5,110.3,21.6,52.0,55.6,6.4,12.9,9.8,14.1,2.0,2.9,25.9,0.479,0.394
457,So,Nate Mason,Minnesota,B10,70.8,2.6,1.1,102.9,24.2,44.8,49.3,1.0,9.1,31.7,12.5,0.1,1.6,27.8,0.444,0.302
459,Jr,Nikola Jovanovic,USC,P12,63.6,2.6,1.6,110.0,21.7,53.6,56.5,9.1,19.0,2.8,13.6,2.9,0.7,51.0,0.523,0.538
460,Sr,Trey Lewis,Louisville,ACC,69.3,2.6,5.2,110.0,21.2,49.5,53.4,2.9,11.2,14.8,17.0,0.4,2.2,26.8,0.469,0.351
468,Jr,Tyler Roberson,Syracuse,ACC,76.3,2.6,2.9,110.7,17.8,52.4,53.7,14.8,15.8,9.2,17.2,2.5,1.5,40.9,0.528,0.0
474,Sr,Rashun Davis,Radford,BSth,78.6,2.6,2.2,105.6,26.1,50.3,53.8,1.3,9.9,31.0,20.7,0.2,3.7,33.7,0.485,0.363
475,Sr,Devon Bookert,Florida St.,ACC,63.5,2.6,6.3,114.3,18.0,54.2,56.5,4.0,7.8,18.4,17.0,0.3,3.5,21.0,0.475,0.391
486,So,Keita Bates-Diop,Ohio St.,B10,73.2,2.5,4.8,109.4,18.7,51.1,54.9,5.2,16.5,7.2,13.5,4.3,1.4,28.6,0.525,0.324
487,Jr,Marc Loving,Ohio St.,B10,83.7,2.5,2.6,102.9,22.2,49.0,54.6,4.1,12.5,9.3,18.2,1.3,1.1,46.9,0.475,0.339
496,Jr,Marquis Wright,Siena,MAAC,48.5,2.5,2.2,104.8,23.1,48.6,53.7,3.9,9.7,26.1,24.2,1.1,2.9,32.4,0.423,0.441
502,Sr,Trahson Burrell,Memphis,Amer,55.9,2.5,7.2,112.0,21.5,47.9,52.5,9.6,16.7,23.1,13.8,2.8,2.5,29.1,0.48,0.319
505,Fr,Edmond Sumner,Xavier,BE,59.0,2.5,5.0,104.3,23.5,44.6,51.6,2.3,11.7,25.2,19.0,0.9,2.7,59.9,0.443,0.301
508,Jr,Kennedy Meeks,North Carolina,ACC,42.4,2.5,6.6,113.2,21.8,54.8,56.7,13.5,18.1,8.6,17.7,5.2,2.3,25.5,0.548,0.0
511,Fr,Dejounte Murray,Washington,P12,82.2,2.4,2.9,97.8,26.0,45.1,48.5,4.1,13.7,25.7,19.0,0.8,2.8,34.2,0.457,0.288
516,So,Tyler Wideman,Butler,BE,60.8,2.4,4.7,118.3,16.0,60.5,61.2,10.4,16.8,5.9,15.6,6.7,2.4,62.3,0.609,0.0
521,Sr,Tony Parker,UCLA,P12,61.9,2.4,2.2,104.3,25.5,53.9,53.6,14.0,20.3,5.2,14.7,4.0,1.4,49.3,0.539,0.0
522,Sr,Alex Caruso,Texas A&M,SEC,71.1,2.4,8.0,111.6,17.5,56.6,59.8,4.1,9.5,31.1,26.8,1.6,4.2,29.4,0.572,0.368
524,Sr,Ricky Tarrant Jr.,Memphis,Amer,73.4,2.4,2.5,108.8,19.6,43.5,52.7,1.3,8.0,20.4,14.0,0.1,2.5,63.2,0.401,0.313
529,So,Elijah Stewart,USC,P12,65.0,2.4,4.0,116.9,15.7,55.4,57.5,3.2,11.0,7.2,11.3,2.7,1.3,23.1,0.45,0.429
530,Fr,Josh Perkins,Gonzaga,WCC,77.1,2.4,4.1,108.8,19.7,51.7,54.6,2.5,9.0,22.0,20.0,0.9,2.3,31.1,0.479,0.379
532,Sr,Eric McClellan,Gonzaga,WCC,67.6,2.4,4.0,111.1,20.2,53.5,57.9,3.1,9.5,13.2,18.0,0.9,1.9,38.2,0.549,0.34
537,Sr,Demetrious Floyd,Stephen F. Austin,Slnd,61.8,2.4,5.8,118.4,21.4,59.1,59.7,1.5,6.9,12.9,10.6,0.5,2.7,7.7,0.521,0.42
538,Jr,Robert Hubbs III,Tennessee,SEC,58.9,2.4,0.2,109.7,19.3,47.2,50.4,6.0,9.0,9.6,8.0,0.1,0.9,24.4,0.494,0.239
543,Fr,Bennie Boatwright,USC,P12,58.3,2.4,2.7,107.8,22.5,49.2,53.1,6.9,15.2,7.5,13.6,3.1,0.9,33.6,0.436,0.359
544,Sr,Jake Kretzer,Akron,MAC,61.4,2.4,3.6,126.8,13.7,59.9,61.6,4.4,13.0,9.5,10.1,0.4,1.3,13.3,0.484,0.413
546,So,Mark Donnal,Michigan,B10,46.2,2.4,1.5,120.6,19.3,59.8,61.8,11.2,12.6,3.7,11.7,4.0,1.1,35.8,0.63,0.303
547,Fr,Jalen Brunson,Villanova,BE,59.8,2.4,3.7,107.9,22.1,53.9,58.1,2.4,5.9,19.1,20.2,0.0,1.7,38.0,0.51,0.383
548,So,Xavier Rathan-Mayes,Florida St.,ACC,70.9,2.4,1.4,103.4,23.2,46.9,51.9,1.4,9.3,27.0,20.5,0.0,1.9,35.8,0.5,0.285
556,Jr,Xavier Moon,Morehead St.,OVC,62.8,2.4,3.6,120.3,17.9,55.4,58.2,2.0,11.0,14.3,12.6,0.6,2.2,26.8,0.509,0.414
557,Fr,Mikal Bridges,Villanova,BE,50.7,2.4,8.5,125.2,14.4,59.1,63.3,5.7,12.4,7.5,12.2,3.6,3.1,45.5,0.716,0.299
