RK,YEAR,NAME,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
2,Sr,Eric Maynor,VCU,CAA,88.0,6.4,10.6,117.3,32.6,52.4,58.3,1.6,10.0,40.8,15.4,0.5,2.9,45.3,0.516,0.361
3,So,James Harden,Arizona St.,P12,88.3,6.3,9.8,112.8,32.6,55.3,60.7,5.5,14.6,29.2,19.0,1.1,3.1,59.7,0.564,0.356
4,Jr,Ty Lawson,North Carolina,ACC,69.3,6.3,14.0,133.7,22.7,59.8,65.3,2.3,7.6,35.7,14.9,0.4,3.8,61.6,0.555,0.462
5,So,Blake Griffin,Oklahoma,B12,80.6,6.2,12.4,117.6,31.1,65.7,64.8,14.2,32.2,16.3,18.2,3.6,1.9,70.6,0.659,0.375
9,Sr,Ben Woodside,North Dakota St.,Sum,86.5,6.1,7.5,118.1,33.3,52.5,59.8,1.0,10.1,36.6,16.6,0.4,2.5,54.3,0.479,0.417
10,Jr,Jerome Randle,California,P12,86.9,6.1,8.2,121.8,25.2,60.9,65.9,1.6,8.8,28.3,19.6,0.0,1.2,42.3,0.534,0.463
11,Sr,Tyler Hansbrough,North Carolina,ACC,69.3,6.0,8.8,124.7,26.5,52.4,61.3,10.7,16.6,5.9,12.2,1.1,2.2,68.2,0.521,0.391
12,Jr,Chase Budinger,Arizona,P12,93.7,5.8,8.5,117.5,23.9,55.4,59.4,4.9,14.8,19.0,16.6,1.4,2.3,34.2,0.528,0.399
13,Sr,Toney Douglas,Florida St.,ACC,90.7,5.8,9.7,115.7,27.6,52.5,58.1,2.7,9.1,20.2,14.6,1.3,2.9,43.3,0.489,0.385
15,Sr,Jeff Ayres,Arizona St.,P12,80.2,5.8,7.5,130.8,20.2,66.0,69.0,11.0,21.9,6.7,12.3,3.3,1.0,48.3,0.662,0.0
17,Sr,Marcus Thornton,LSU,SEC,79.1,5.6,11.2,119.4,28.9,54.4,58.0,7.1,11.9,15.4,11.6,1.2,2.9,36.9,0.522,0.388
20,So,DeJuan Blair,Pittsburgh,BE,64.5,5.5,12.3,125.8,26.2,58.4,59.3,23.7,27.6,9.3,11.0,3.6,3.5,44.7,0.584,0.0
21,Sr,Lee Cummard,BYU,MWC,82.0,5.5,9.6,123.6,23.9,56.7,61.9,5.6,16.1,20.5,12.3,3.0,1.5,36.9,0.558,0.396
24,So,James Anderson,Oklahoma St.,B12,83.0,5.3,8.1,120.2,23.6,57.8,62.3,7.5,11.5,8.3,13.9,2.2,1.9,37.8,0.548,0.408
25,So,Jonny Flynn,Syracuse,BE,90.7,5.2,5.6,111.9,24.9,50.6,56.6,1.9,5.9,32.6,20.5,0.4,2.0,48.0,0.517,0.321
26,So,Evan Turner,Ohio St.,B10,90.0,5.2,7.7,107.9,29.4,51.7,58.4,6.6,17.2,25.8,21.1,2.8,3.1,57.8,0.507,0.44
33,Sr,Wesley Matthews,Marquette,BE,84.8,5.1,7.5,117.4,24.5,52.7,60.7,4.5,15.4,14.8,16.1,1.6,2.1,63.3,0.517,0.368
34,Jr,Jon Scheyer,Duke,ACC,81.8,5.1,8.9,123.3,20.5,50.4,58.5,3.9,8.8,15.7,13.1,0.5,2.8,58.2,0.411,0.385
35,Sr,Darren Collison,UCLA,P12,78.5,5.1,8.6,120.7,23.7,56.8,62.4,1.9,7.9,28.4,20.2,0.5,3.1,36.6,0.558,0.394
36,Jr,Jordan Hill,Arizona,P12,86.3,5.1,4.6,108.9,28.0,53.7,56.0,15.4,22.2,9.6,17.5,5.6,1.5,38.2,0.537,0.0
37,Sr,Gary Wilkinson,Utah St.,WAC,79.9,5.1,5.4,124.8,24.0,57.9,64.0,7.2,18.9,8.5,13.0,1.3,0.9,54.8,0.585,0.316
