RK,TEAM,CONF,ADJ. EFF. OFF.,ADJ. EFF. DEF.,EFF. FG% OFF.,EFF. FG% DEF.,TURNOVER% OFF.,TURNOVER% DEF.,OFF. REB% OFF.,OFF. REB% DEF.,FT RATE OFF.,FT RATE DEF.,FT% OFF.,FT% DEF.,2P% OFF.,2P% DEF.,3P% OFF.,3P% DEF.
150.0,Northern Kentucky,Horz,100.3,108.9,50.3,50.2,19.7,16.1,26.5,29.4,31.2,42.6,67.7,74.1,48.6,47.9,35.3,36.8
155.0,New Mexico St.,WAC,102.1,96.8,50.2,44.8,20.2,16.2,36.0,25.1,36.9,28.4,67.5,66.7,50.7,42.3,32.5,33.5
164.0,Virginia Tech,ACC,110.3,98.8,50.0,49.0,18.0,17.9,30.3,31.8,49.4,33.5,69.7,68.8,49.1,50.1,34.8,31.3
175.0,West Virginia,B12,115.7,91.6,49.8,48.4,20.0,25.0,42.0,27.1,46.2,55.3,67.3,71.4,50.3,47.7,32.5,33.1
178.0,Seton Hall,BE,111.5,92.5,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,65.8,67.9,48.8,44.3,34.7,31.7
184.0,Arkansas,SEC,110.3,100.2,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,69.4,70.0,46.1,47.7,39.7,35.9
201.0,Cincinnati,Amer,111.0,94.6,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27.0,70.5,68.0,47.7,41.3,34.8,35.7
214.0,Kent St.,MAC,106.4,107.8,49.0,51.0,17.5,16.8,34.1,28.0,40.0,35.1,68.1,73.5,49.0,49.5,32.8,35.9
223.0,Wichita St.,MVC,111.1,89.0,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,71.9,71.1,49.2,42.1,32.3,32.7
235.0,South Carolina,SEC,108.9,96.3,48.5,47.4,18.9,20.5,37.5,29.5,43.2,38.2,68.8,68.6,46.6,42.9,35.4,35.8
236.0,Wisconsin,B10,109.5,94.5,48.5,48.1,17.1,18.6,33.1,27.7,38.0,33.6,70.3,70.9,46.6,44.8,34.9,37.4
237.0,Florida,SEC,110.8,94.3,48.5,46.7,16.0,18.6,32.9,29.5,39.5,35.7,64.8,67.8,48.9,44.4,31.9,34.3
246.0,Oklahoma St.,B12,106.3,98.1,48.3,47.1,19.1,17.5,28.8,32.3,38.3,40.9,72.9,66.7,47.8,44.7,32.8,34.2
256.0,UC Davis,BW,94.0,99.9,47.9,48.3,20.7,19.7,25.0,28.4,33.6,31.8,64.0,71.4,45.5,48.7,35.9,31.7
270.0,Kansas St.,B12,109.3,95.1,47.6,49.0,20.3,20.8,37.0,31.0,42.5,40.4,68.8,68.9,48.7,50.4,30.0,31.0
304.0,Jacksonville St.,OVC,97.7,109.6,46.6,52.0,16.3,18.6,27.0,34.1,30.9,42.6,73.8,69.6,43.2,53.0,34.5,33.3
310.0,Minnesota,B10,100.5,104.2,45.9,51.7,16.5,17.8,26.5,29.2,37.1,34.2,70.8,72.8,45.6,48.7,31.0,38.2
312.0,Troy,SB,98.4,107.9,45.8,50.9,16.8,17.8,29.1,31.8,38.0,35.1,63.4,70.1,45.3,49.0,31.2,36.2
313.0,Mount St. Mary's,NEC,93.0,101.7,45.8,50.2,17.2,24.6,25.3,33.7,30.6,40.4,69.2,71.2,44.8,50.1,31.7,33.7
320.0,Nevada,MWC,101.7,98.9,45.5,46.1,17.6,17.3,30.7,30.3,43.2,39.6,73.4,66.8,46.3,44.9,29.1,32.3
