ï»¿RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
322,Jr,Desi Rodriguez,Seton Hall,BE,79.0,3.0,4.0,104.5,24.8,49.7,51.9,4.4,13.9,11.7,15.1,1.4,1.5,30.4,0.48,0.355
323,So,Deng Adel,Louisville,ACC,72.4,3.0,5.3,111.5,19.9,48.9,52.8,2.6,13.8,12.8,13.3,1.4,1.2,28.8,0.469,0.349
324,Jr,Braxton Huggins,New Mexico St.,WAC,70.0,3.0,2.6,117.9,20.5,57.2,61.5,2.0,8.4,9.5,15.9,0.7,0.6,36.9,0.465,0.417
327,Sr,V.J. Beachem,Notre Dame,ACC,85.1,3.0,4.3,107.7,19.9,52.0,54.6,2.2,11.4,4.8,9.7,3.2,1.6,16.5,0.495,0.361
328,So,Aaron Holiday,UCLA,P12,65.8,3.0,3.7,113.1,23.2,57.1,61.0,1.5,9.5,24.4,21.3,0.6,2.2,35.9,0.539,0.411
329,Sr,Erik Durham,Jacksonville St.,OVC,83.8,3.0,3.9,125.4,14.5,66.2,66.4,4.9,11.5,11.6,15.6,0.3,1.3,27.7,0.578,0.476
332,Sr,Troy Caupain,Cincinnati,Amer,80.1,3.0,5.5,112.9,19.1,46.8,50.0,2.3,14.1,24.4,12.9,1.1,2.2,30.0,0.453,0.325
336,Jr,Kyle Washington,Cincinnati,Amer,61.3,3.0,4.6,111.2,26.0,53.0,55.9,10.3,21.3,7.6,14.0,5.5,0.9,31.6,0.53,0.357
337,Jr,Matthew Fisher-Davis,Vanderbilt,SEC,67.4,3.0,4.3,105.7,24.4,52.1,56.7,1.4,11.5,8.7,13.4,0.9,1.3,33.7,0.459,0.372
338,Sr,Zak Showalter,Wisconsin,B10,73.1,3.0,6.2,124.1,13.1,61.4,64.2,3.1,8.7,10.6,17.5,1.1,3.2,24.8,0.637,0.398
341,Sr,Seth Allen,Virginia Tech,ACC,69.5,3.0,3.9,108.8,23.5,62.6,64.7,1.1,8.1,22.9,23.6,0.4,1.6,35.6,0.601,0.441
353,Jr,Muhammad-Ali Abdur-Rahkman,Michigan,B10,75.8,2.9,3.6,115.4,16.4,54.4,57.8,3.1,8.7,11.7,13.2,0.4,1.9,31.3,0.527,0.378
358,Sr,Demetris Morant,Florida Gulf Coast,ASun,65.4,2.9,3.6,130.9,15.7,74.6,72.7,13.0,21.4,3.5,16.8,5.6,0.6,31.4,0.746,0.0
361,Sr,D.J. Fenner,Nevada,MWC,74.9,2.9,1.6,111.9,20.7,54.3,59.3,3.6,9.5,10.7,16.2,1.2,1.1,36.4,0.462,0.435
363,Jr,Dusan Ristic,Arizona,P12,55.5,2.9,3.5,115.9,22.2,55.8,58.6,9.9,18.3,4.2,12.8,2.1,0.8,27.5,0.556,0.5
365,So,Cameron Oliver,Nevada,MWC,79.4,2.9,5.7,105.9,24.2,54.1,56.5,5.7,23.8,11.9,17.2,8.3,1.5,30.0,0.519,0.384
368,Jr,Stephen Brown,Bucknell,Pat,75.6,2.9,4.4,113.9,20.3,54.3,56.5,1.4,10.5,29.1,16.6,0.3,3.0,30.9,0.5,0.402
370,Fr,Rawle Alkins,Arizona,P12,70.1,2.9,5.9,110.9,21.2,53.4,56.6,7.1,13.6,14.0,18.2,1.8,1.9,32.7,0.521,0.37
376,Sr,Chris Flemmings,UNC Wilmington,CAA,87.4,2.8,3.5,110.2,20.6,53.7,56.9,3.5,15.5,10.4,17.0,2.0,2.0,29.6,0.58,0.328
379,So,Isaiah Briscoe,Kentucky,SEC,71.8,2.8,4.6,105.1,22.3,49.4,52.4,5.3,13.7,23.3,19.5,0.6,1.5,42.7,0.507,0.288
387,Sr,Nathan Adrian,West Virginia,B12,74.5,2.8,6.4,113.0,17.5,47.8,51.7,9.2,13.4,16.3,16.4,1.9,2.4,35.3,0.5,0.294
