ï»¿RK,YEAR,NAME ,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,3P
754,So,Haanif Cheatham,Marquette,BE,63.3,2.0,1.0,106.7,19.0,49.0,55.2,3.4,14.5,14.5,18.5,0.5,1.6,50.7,0.491,0.325
760,Jr,Christian Terrell,Florida Gulf Coast,ASun,71.2,2.0,1.8,113.7,17.8,50.8,53.2,3.4,9.4,14.4,12.5,0.9,1.5,22.9,0.508,0.338
768,Jr,Chima Moneke,UC Davis,BW,67.9,2.0,2.4,99.6,28.3,51.8,55.2,11.2,29.6,7.5,19.4,5.8,1.8,60.8,0.518,0.0
771,Jr,Mitchell Solomon,Oklahoma St.,B12,50.5,2.0,1.9,115.8,15.6,49.6,56.0,17.3,12.8,6.6,21.2,6.4,1.1,53.7,0.513,0.0
792,So,Elijah Long,Mount St. Mary's,NEC,85.7,1.9,0.5,96.2,27.9,46.6,51.7,1.6,16.1,27.4,20.7,0.2,2.7,41.2,0.424,0.382
804,So,Barry Brown,Kansas St.,B12,81.6,1.9,3.8,98.5,20.4,47.5,49.8,1.9,9.8,14.9,15.4,0.4,4.2,33.1,0.466,0.326
808,Sr,Kurt Steidl,Vermont,AE,71.9,1.9,4.1,121.1,12.7,55.4,58.7,2.0,15.8,7.0,9.8,2.3,1.8,24.8,0.452,0.4
810,Sr,Kuran Iverson,Rhode Island,A10,64.8,1.9,4.4,104.0,21.5,51.9,53.4,9.4,21.7,13.1,19.2,5.3,1.4,37.6,0.551,0.296
812,Jr,Desonta Bradford,East Tennessee St.,SC,73.5,1.9,3.7,108.9,18.8,53.5,59.1,2.3,14.2,21.5,23.1,3.2,2.1,51.3,0.544,0.346
813,Jr,Malcolm Drumwright,Jacksonville St.,OVC,82.6,1.9,-1.3,103.1,22.4,50.0,53.1,1.0,7.2,23.0,19.7,0.7,1.1,19.9,0.468,0.357
816,Sr,Jon Severe,Iona,MAAC,65.6,1.9,0.6,108.2,20.8,55.2,58.8,3.1,11.9,15.0,19.2,0.3,1.4,24.7,0.474,0.424
827,Jr,Donovan Jackson,Iowa St.,B12,41.3,1.9,3.8,119.8,16.4,58.3,61.1,0.4,5.7,12.2,11.2,0.0,1.7,25.2,0.439,0.454
828,So,Christian Cunningham,Jacksonville St.,OVC,64.8,1.9,3.1,115.4,16.5,60.8,61.2,13.4,22.2,8.0,19.0,7.5,1.3,38.6,0.608,0.0
841,Sr,Eron Harris,Michigan St.,B10,44.0,1.8,2.4,101.8,24.2,52.4,55.3,2.8,11.7,15.5,18.4,0.8,1.0,25.2,0.472,0.387
855,Jr,Silas Melson,Gonzaga,WCC,59.6,1.8,5.0,117.1,14.0,54.6,57.9,2.4,7.9,9.9,13.4,0.7,1.6,23.0,0.505,0.391
856,Sr,Darryl Reynolds,Villanova,BE,51.3,1.8,4.5,119.7,11.3,68.8,69.2,11.8,16.6,4.1,25.6,4.7,1.3,53.8,0.688,0.0
858,So,Eric Paschall,Villanova,BE,54.2,1.8,2.0,109.7,18.1,56.2,58.3,8.6,12.8,5.2,18.5,2.7,1.5,30.3,0.638,0.279
863,Fr,Kobi Simmons,Arizona,P12,58.9,1.8,1.0,104.2,21.1,45.4,50.1,1.9,6.0,15.8,15.0,0.4,1.6,31.6,0.435,0.327
871,Sr,Kethan Savage,Butler,BE,44.7,1.8,4.1,105.3,21.5,48.3,54.5,1.1,15.3,14.0,15.4,1.2,2.6,54.6,0.5,0.292
874,Sr,Sam Cassell Jr.,Iona,MAAC,74.6,1.8,0.6,108.2,18.5,50.0,53.1,1.2,9.9,17.3,13.9,0.2,1.6,19.5,0.411,0.364
882,Fr,E.J. Crawford,Iona,MAAC,61.8,1.8,0.0,115.7,16.2,56.8,59.8,2.5,10.6,7.9,12.2,0.8,0.8,28.0,0.458,0.448
884,Sr,A.J. Hess,South Dakota St.,Sum,53.0,1.8,0.2,113.6,16.3,54.1,57.4,2.4,13.3,4.5,10.0,1.6,1.1,21.7,0.457,0.372
907,Jr,Anton Beard,Arkansas,SEC,52.4,1.7,2.3,108.8,18.4,47.9,52.3,4.4,6.4,15.8,15.3,0.1,2.9,35.2,0.439,0.356
908,Jr,Ty Outlaw,Virginia Tech,ACC,44.0,1.7,5.3,124.5,13.0,68.2,68.7,2.2,15.9,3.4,11.2,1.9,0.9,6.8,0.483,0.487
924,Sr,Dominique Hawkins,Kentucky,SEC,47.9,1.7,4.5,121.6,11.8,48.2,54.2,3.4,5.7,13.1,11.1,0.0,2.2,38.1,0.453,0.344
926,Jr,Justin Bibbs,Virginia Tech,ACC,77.6,1.7,1.7,108.5,14.5,54.2,55.9,1.5,8.7,9.1,12.6,0.3,0.6,15.9,0.371,0.432
927,Sr,Sabri Thompson,Northwestern St.,Slnd,77.6,1.7,-0.2,105.8,20.0,53.3,55.5,4.3,10.2,9.9,16.0,0.5,1.6,24.9,0.398,0.416
934,Jr,A.J. Jacobson,North Dakota St.,Sum,79.3,1.7,1.1,111.3,16.6,53.1,57.8,1.7,17.5,13.5,15.5,2.3,1.0,41.1,0.433,0.411
939,Sr,Matt Jones,Duke,ACC,82.2,1.7,4.5,109.5,11.9,50.4,51.7,3.7,6.0,9.7,16.2,0.5,3.0,10.9,0.489,0.342
951,Sr,Akeem Springs,Minnesota,B10,54.9,1.7,4.0,104.8,19.1,50.6,52.2,2.4,10.4,11.2,11.7,0.8,1.3,17.5,0.376,0.383
952,Jr,Marial Shayok,Virginia,ACC,50.9,1.7,5.0,99.1,25.6,48.0,51.1,2.2,12.6,10.8,13.3,2.0,2.8,19.9,0.477,0.328
954,So,Lagerald Vick,Kansas,B12,60.3,1.7,3.5,109.3,14.7,52.1,55.2,4.8,11.0,6.2,17.3,1.7,1.3,21.0,0.496,0.37
955,Jr,Anders Broman,Winthrop,BSth,54.5,1.7,2.0,120.2,15.5,60.8,62.8,0.7,6.3,11.0,13.0,0.6,1.7,17.5,0.449,0.443
957,So,Jake Lindsey,Baylor,B12,56.8,1.6,4.4,113.2,13.3,51.9,53.9,2.6,8.5,23.9,23.3,1.8,1.4,22.5,0.468,0.4
959,Sr,Tevin Glass,East Tennessee St.,SC,56.0,1.6,1.9,110.4,19.9,55.5,59.6,9.7,22.5,7.1,18.6,2.9,1.9,53.2,0.572,0.214
981,Jr,Zach Brown,Wichita St.,MVC,52.6,1.6,3.9,110.2,18.4,49.0,53.2,5.9,10.3,12.9,15.6,1.1,1.8,45.9,0.472,0.336
983,Jr,Reed Tellinghuisen,South Dakota St.,Sum,81.9,1.6,-0.1,104.0,19.0,50.0,53.3,3.8,12.5,10.3,15.8,2.9,1.4,22.1,0.517,0.327
987,So,Jalen Avery,Kent St.,MAC,58.1,1.6,-0.2,125.1,10.5,49.6,55.2,1.7,6.9,13.8,11.8,0.0,1.0,41.9,0.34,0.398
988,Sr,Ishmail Wainright,Baylor,B12,74.2,1.6,6.4,107.2,13.6,48.5,50.9,6.5,13.9,18.8,24.9,0.9,3.5,24.4,0.55,0.284
991,Jr,Darius Thompson,Virginia,ACC,49.7,1.6,6.8,105.5,19.2,52.0,53.3,1.1,8.9,21.4,16.7,2.4,2.7,25.1,0.515,0.351
1001,Sr,Xavier Habersham,Middle Tennessee,CUSA,48.8,1.6,2.5,122.3,13.5,64.8,65.6,3.8,7.2,14.8,19.6,0.5,1.1,16.4,0.605,0.447
1005,Sr,Greg Tucker,Jacksonville St.,OVC,76.3,1.6,-2.0,102.7,21.4,45.8,51.9,1.5,6.1,15.6,17.5,0.2,1.2,36.4,0.366,0.346
1010,So,Schadrac Casimir,Iona,MAAC,48.3,1.6,0.9,118.0,16.0,54.3,59.8,3.0,5.2,12.3,14.2,0.3,1.5,29.3,0.423,0.427
1014,So,Ryan Cline,Purdue,B10,46.9,1.5,4.0,117.6,11.7,59.3,60.3,1.0,9.4,12.4,16.3,0.5,0.9,8.2,0.48,0.413
1015,Jr,Reggie Lynch,Minnesota,B10,54.9,1.5,5.0,103.5,19.2,54.3,56.7,9.9,17.4,4.0,19.0,14.5,1.1,48.7,0.543,0.0
1021,So,Lindsey Drew,Nevada,MWC,79.9,1.5,3.5,110.4,13.0,53.7,54.6,3.9,12.6,24.4,24.6,2.7,2.1,37.0,0.471,0.433
1026,Fr,Xavier Sneed,Kansas St.,B12,45.5,1.5,3.3,106.8,19.5,53.3,57.0,5.7,11.3,6.9,16.6,1.2,3.1,40.1,0.571,0.339
